Breed,Breed Size,Sex,Age,Spay/Neuter Status,Daily Activity Level,Daily Walk Distance (miles),Hours of Sleep,Play Time (hrs),Annual Vet Visits,Weight (kg)
Rottweiler,Large,Female,12.0,Neutered,Very Active,4.0,11.0,1.0,1.0,23.13
Chihuahua,Small,Female,4.0,,Moderate,2.0,13.0,1.0,2.0,
Rottweiler,Large,Male,4.0,Neutered,Low,3.0,10.0,3.0,1.0,21.32
German Shepherd,Large,Female,11.0,Neutered,Active,,9.0,2.0,2.0,17.69
Boxer,Medium,Female,8.0,,Low,2.0,12.0,1.0,2.0,26.76
Rottweiler,Large,Female,11.0,Neutered,Low,2.0,9.0,2.0,1.0,24.95
Siberian Husky,Medium,Female,6.0,Neutered,Active,2.0,12.0,2.0,0.0,28.12
Chihuahua,Small,Male,13.0,Neutered,Very Active,2.0,11.0,0.0,4.0,35.83
Poodle,Small,Male,10.0,Spayed,Very Active,0.0,12.0,3.0,2.0,23.13
Poodle,Small,Male,2.0,Spayed,,1.0,12.0,1.0,0.0,22.68
Australian Shepherd,Medium,Male,3.0,,,3.0,8.0,1.0,1.0,20.41
Boxer,Medium,Male,8.0,,,2.0,12.0,0.0,1.0,30.84
Poodle,Small,Male,7.0,,Low,1.0,12.0,1.0,3.0,29.03
Golden Retriever,Large,Male,7.0,,,4.0,11.0,1.0,3.0,27.67
Boxer,Medium,Male,11.0,Spayed,Active,2.0,12.0,0.0,0.0,20.41
Labrador Retriever,Large,Male,11.0,Spayed,Moderate,5.0,8.0,3.0,1.0,18.14
Chihuahua,Small,Female,5.0,,Very Active,2.0,,1.0,0.0,19.96
Beagle,Small,Male,8.0,Spayed,,1.0,10.0,1.0,2.0,15.88
Chihuahua,Small,Female,3.0,Spayed,Low,1.0,12.0,0.0,0.0,26.76
Doberman,Large,Female,6.0,Neutered,Low,4.0,13.0,1.0,4.0,
Dachshund,Small,Male,1.0,,Very Active,2.0,10.0,1.0,3.0,29.48
Chihuahua,Small,Male,8.0,Neutered,Low,3.0,10.0,1.0,3.0,35.83
Yorkshire Terrier,Small,Female,13.0,,Very Active,2.0,8.0,,4.0,22.68
Rottweiler,Large,Male,6.0,,Moderate,5.0,10.0,0.0,2.0,30.39
Yorkshire Terrier,Small,Male,1.0,,Very Active,0.0,10.0,0.0,1.0,23.59
German Shepherd,Large,Male,12.0,,Low,2.0,11.0,0.0,4.0,31.75
Boxer,Medium,Female,6.0,Spayed,Moderate,2.0,12.0,2.0,2.0,38.1
Labrador Retriever,Large,Male,5.0,,Active,2.0,10.0,3.0,1.0,23.59
Poodle,Small,Female,4.0,Spayed,,2.0,10.0,2.0,1.0,16.78
Poodle,Small,Male,5.0,Neutered,,4.0,13.0,1.0,3.0,33.11
Yorkshire Terrier,Small,Female,2.0,Spayed,Low,0.0,13.0,0.0,3.0,17.24
Beagle,Small,Male,4.0,Spayed,Moderate,2.0,10.0,3.0,3.0,31.75
Beagle,Small,Female,12.0,,Active,1.0,9.0,0.0,2.0,18.14
Doberman,Large,,6.0,,Active,2.0,14.0,1.0,2.0,19.05
Chihuahua,Small,Female,6.0,Neutered,Active,3.0,13.0,0.0,2.0,17.24
Bulldog,Medium,Male,,Spayed,,1.0,9.0,1.0,2.0,20.87
Boxer,Medium,Male,6.0,Neutered,Moderate,3.0,10.0,1.0,2.0,31.3
Doberman,Large,Male,6.0,Spayed,Moderate,2.0,9.0,0.0,3.0,22.68
Beagle,Small,Male,9.0,Spayed,Active,3.0,10.0,2.0,0.0,25.85
Beagle,Small,Female,3.0,Neutered,Moderate,3.0,10.0,2.0,1.0,26.76
Rottweiler,Large,Female,4.0,Spayed,,2.0,10.0,3.0,1.0,27.67
Doberman,Large,Female,3.0,,Very Active,5.0,11.0,2.0,,24.49
Great Dane,Large,Female,9.0,Neutered,Moderate,1.0,9.0,1.0,1.0,11.79
Yorkshire Terrier,Small,Male,2.0,Spayed,Active,2.0,14.0,1.0,2.0,24.49
Beagle,Small,Male,7.0,,Very Active,2.0,11.0,1.0,4.0,7.26
Labrador Retriever,Large,Female,11.0,,Very Active,3.0,8.0,0.0,2.0,25.4
Beagle,Small,Male,4.0,,Moderate,1.0,11.0,3.0,4.0,29.03
Chihuahua,Small,Male,7.0,,Very Active,3.0,9.0,0.0,1.0,15.42
Bulldog,Medium,Female,8.0,,Active,4.0,9.0,2.0,2.0,24.04
Bulldog,Medium,Female,10.0,Spayed,Very Active,3.0,12.0,2.0,4.0,16.78
Siberian Husky,Medium,Male,13.0,Neutered,Active,3.0,12.0,0.0,1.0,28.58
Bulldog,Medium,Female,13.0,,,2.0,9.0,2.0,2.0,19.96
German Shepherd,Large,Female,3.0,,Low,1.0,11.0,2.0,3.0,14.97
Boxer,Medium,Male,10.0,Spayed,,0.0,13.0,3.0,2.0,20.87
Doberman,Large,Male,10.0,Spayed,Moderate,1.0,13.0,1.0,1.0,22.23
Boxer,Medium,Male,4.0,Neutered,Low,3.0,10.0,0.0,2.0,11.34
Boxer,Medium,Female,2.0,Spayed,,1.0,11.0,1.0,2.0,14.51
Labrador Retriever,Large,Female,9.0,,Active,2.0,12.0,3.0,1.0,24.49
Chihuahua,Small,,4.0,Spayed,,,9.0,1.0,1.0,28.12
Rottweiler,Large,Male,12.0,Spayed,Moderate,1.0,10.0,2.0,3.0,24.95
Rottweiler,Large,Male,,Neutered,Active,2.0,11.0,1.0,1.0,25.4
Poodle,Small,Male,8.0,Spayed,Low,1.0,12.0,1.0,,17.69
Beagle,Small,Male,8.0,Neutered,Active,2.0,11.0,1.0,3.0,21.77
Great Dane,Large,Female,5.0,,Moderate,3.0,12.0,2.0,2.0,24.95
Great Dane,Large,Female,8.0,,Low,,9.0,2.0,1.0,24.04
Australian Shepherd,Medium,Male,,,Moderate,3.0,13.0,1.0,,35.83
Beagle,Small,Female,11.0,Neutered,,2.0,14.0,1.0,2.0,13.15
Rottweiler,Large,Male,1.0,Spayed,Very Active,3.0,11.0,,3.0,29.03
German Shepherd,Large,Male,7.0,Neutered,Low,4.0,11.0,1.0,1.0,25.85
Beagle,Small,Male,8.0,Spayed,Moderate,3.0,11.0,2.0,1.0,23.59
Golden Retriever,Large,Male,5.0,Spayed,Active,4.0,10.0,1.0,1.0,25.4
Rottweiler,Large,Female,6.0,Spayed,Active,3.0,9.0,0.0,0.0,17.24
Great Dane,Large,Male,11.0,,Moderate,3.0,,1.0,1.0,22.68
Yorkshire Terrier,Small,Female,2.0,Spayed,Low,,11.0,1.0,0.0,15.42
Great Dane,Large,Male,6.0,Neutered,Active,,11.0,0.0,0.0,24.49
Labrador Retriever,Large,Male,9.0,,Active,3.0,13.0,3.0,0.0,23.59
Doberman,Large,Female,12.0,Spayed,Active,3.0,11.0,2.0,1.0,16.33
Golden Retriever,Large,Female,11.0,,Low,0.0,11.0,0.0,2.0,24.04
German Shepherd,Large,Male,4.0,Spayed,Moderate,2.0,11.0,2.0,1.0,27.22
Chihuahua,Small,Female,10.0,Neutered,Active,2.0,11.0,2.0,1.0,34.93
Doberman,Large,Female,1.0,Spayed,Active,3.0,10.0,1.0,3.0,19.5
Rottweiler,Large,Male,8.0,Spayed,Very Active,4.0,10.0,0.0,2.0,14.97
Yorkshire Terrier,Small,Female,12.0,Neutered,Active,0.0,12.0,3.0,0.0,18.14
German Shepherd,Large,Female,12.0,,,1.0,14.0,0.0,3.0,27.22
Doberman,Large,Female,5.0,Neutered,Moderate,0.0,11.0,2.0,1.0,23.59
Bulldog,Medium,Female,4.0,,Very Active,4.0,12.0,2.0,0.0,24.95
Australian Shepherd,Medium,Male,2.0,Spayed,Active,3.0,11.0,2.0,0.0,18.6
Boxer,Medium,Male,7.0,Neutered,Active,3.0,9.0,0.0,0.0,25.85
Labrador Retriever,Large,Male,9.0,,Active,0.0,10.0,3.0,1.0,26.76
,Small,Female,4.0,Spayed,Very Active,4.0,9.0,1.0,3.0,20.41
Bulldog,Medium,Female,,,Very Active,1.0,12.0,1.0,1.0,18.14
Australian Shepherd,Medium,Female,3.0,,,1.0,11.0,2.0,1.0,24.95
German Shepherd,Large,Male,9.0,Neutered,Very Active,6.0,10.0,2.0,1.0,14.51
Australian Shepherd,Medium,Female,11.0,Spayed,Very Active,0.0,9.0,1.0,1.0,33.11
Australian Shepherd,Medium,Female,12.0,,Very Active,6.0,9.0,2.0,1.0,22.23
Golden Retriever,Large,Male,6.0,,,1.0,12.0,3.0,3.0,43.09
Siberian Husky,Medium,Female,2.0,,Low,,13.0,2.0,0.0,34.47
Bulldog,Medium,Female,2.0,Spayed,Active,3.0,12.0,1.0,,14.51
Boxer,Medium,Female,11.0,Spayed,Active,1.0,10.0,,3.0,21.32
Yorkshire Terrier,Small,Male,11.0,Neutered,Active,6.0,11.0,1.0,0.0,4.54
Poodle,Small,Male,4.0,,Moderate,1.0,11.0,4.0,1.0,20.87
Boxer,Medium,Female,4.0,,Low,3.0,11.0,1.0,3.0,
Boxer,Medium,Female,6.0,Neutered,,4.0,10.0,2.0,3.0,23.59
Siberian Husky,Medium,Male,1.0,Spayed,Very Active,1.0,10.0,0.0,1.0,17.69
Beagle,Small,Male,5.0,Spayed,,4.0,8.0,2.0,4.0,27.22
Labrador Retriever,Large,Female,12.0,Neutered,,3.0,11.0,2.0,3.0,22.68
Labrador Retriever,Large,Female,5.0,Neutered,Low,3.0,12.0,0.0,1.0,12.25
Doberman,Large,Male,11.0,,,3.0,,1.0,3.0,28.58
Bulldog,Medium,Female,8.0,Neutered,,2.0,12.0,1.0,1.0,14.51
Beagle,Small,,11.0,Spayed,Active,2.0,10.0,3.0,1.0,28.58
Chihuahua,Small,Male,5.0,Spayed,Moderate,2.0,11.0,2.0,1.0,19.5
Rottweiler,Large,Male,10.0,Spayed,Moderate,4.0,10.0,1.0,3.0,31.75
Beagle,Small,Male,9.0,,Active,2.0,12.0,2.0,1.0,27.67
Bulldog,Medium,Female,8.0,Neutered,Active,4.0,12.0,2.0,1.0,15.88
Chihuahua,Small,Female,1.0,Spayed,Active,2.0,12.0,1.0,2.0,29.03
Dachshund,Small,Male,11.0,Neutered,Very Active,0.0,13.0,2.0,1.0,34.93
Poodle,Small,Female,1.0,,Very Active,1.0,13.0,3.0,1.0,30.84
Labrador Retriever,Large,Male,12.0,Spayed,Very Active,4.0,10.0,2.0,3.0,19.5
Labrador Retriever,Large,Female,7.0,,Low,2.0,9.0,2.0,1.0,20.41
Boxer,Medium,Male,7.0,Neutered,Moderate,0.0,11.0,2.0,2.0,
Bulldog,Medium,Male,2.0,Spayed,,1.0,11.0,1.0,3.0,26.31
Golden Retriever,Large,Female,10.0,Neutered,Low,2.0,11.0,1.0,0.0,23.13
Bulldog,Medium,Female,2.0,,Active,0.0,8.0,1.0,0.0,26.31
Rottweiler,Large,Male,5.0,Spayed,Active,3.0,11.0,,0.0,30.39
Boxer,Medium,Female,8.0,Spayed,,3.0,12.0,2.0,2.0,23.13
Dachshund,Small,Female,3.0,Neutered,Moderate,,12.0,2.0,2.0,27.22
Boxer,Medium,Male,11.0,,Very Active,1.0,14.0,2.0,2.0,25.85
Great Dane,Large,Female,10.0,Spayed,,3.0,11.0,1.0,2.0,18.14
Golden Retriever,Large,Male,6.0,Spayed,Moderate,3.0,8.0,2.0,4.0,
Rottweiler,Large,Male,13.0,,Very Active,0.0,10.0,2.0,1.0,22.68
Chihuahua,Small,Female,5.0,Neutered,Low,3.0,11.0,2.0,1.0,19.05
Bulldog,Medium,,9.0,Spayed,Very Active,3.0,11.0,2.0,0.0,23.13
Chihuahua,Small,Male,1.0,Spayed,,5.0,11.0,2.0,3.0,29.03
Great Dane,Large,Female,6.0,,Moderate,3.0,11.0,3.0,3.0,14.51
Chihuahua,Small,Female,4.0,Neutered,,2.0,8.0,1.0,1.0,15.42
Poodle,Small,Male,2.0,Neutered,Very Active,4.0,10.0,1.0,1.0,27.22
Beagle,Small,Male,3.0,Spayed,Very Active,1.0,13.0,2.0,0.0,15.88
Yorkshire Terrier,Small,Female,4.0,Neutered,Very Active,0.0,14.0,1.0,1.0,24.95
Beagle,Small,Male,2.0,Spayed,Moderate,3.0,12.0,0.0,4.0,24.49
Doberman,Large,Male,1.0,,Very Active,3.0,13.0,2.0,0.0,26.31
Dachshund,Small,Female,2.0,,Low,2.0,12.0,1.0,2.0,15.88
Golden Retriever,,Male,2.0,Spayed,Active,1.0,,3.0,1.0,33.11
Great Dane,Large,Male,11.0,Neutered,,3.0,10.0,2.0,1.0,14.97
Australian Shepherd,Medium,Male,6.0,,Moderate,2.0,12.0,1.0,1.0,8.62
Chihuahua,Small,Male,13.0,Neutered,Very Active,2.0,11.0,4.0,2.0,40.37
Rottweiler,Large,Male,5.0,Spayed,Very Active,3.0,,3.0,4.0,11.79
Chihuahua,Small,Male,8.0,Spayed,Moderate,3.0,12.0,1.0,3.0,10.43
Siberian Husky,Medium,,7.0,Neutered,Low,5.0,10.0,2.0,2.0,21.77
Golden Retriever,Large,Male,8.0,,Active,0.0,12.0,0.0,1.0,15.88
Yorkshire Terrier,Small,Female,1.0,Neutered,Moderate,4.0,12.0,0.0,0.0,19.5
Golden Retriever,Large,Female,5.0,Neutered,Low,4.0,,2.0,1.0,20.41
Doberman,Large,Male,7.0,Spayed,Low,4.0,10.0,3.0,3.0,31.75
Great Dane,Large,Male,7.0,Spayed,Active,4.0,11.0,0.0,1.0,24.95
,Medium,Male,8.0,,,3.0,9.0,3.0,,22.23
Golden Retriever,Large,Male,3.0,,Very Active,3.0,12.0,2.0,3.0,15.88
Rottweiler,Large,Female,10.0,Spayed,Moderate,3.0,11.0,2.0,1.0,15.42
Doberman,Large,Female,12.0,Spayed,Moderate,4.0,10.0,3.0,2.0,23.13
Rottweiler,Large,Female,5.0,,Low,1.0,11.0,2.0,3.0,29.94
Australian Shepherd,Medium,Male,1.0,,Very Active,4.0,12.0,2.0,1.0,9.53
Doberman,Large,Female,2.0,Neutered,Low,4.0,8.0,3.0,0.0,23.59
Doberman,Large,Male,,,,0.0,9.0,1.0,1.0,21.32
German Shepherd,Large,Female,5.0,Spayed,Very Active,4.0,11.0,2.0,3.0,23.59
Great Dane,Large,Male,5.0,,Low,4.0,10.0,1.0,1.0,21.77
Poodle,Small,Female,1.0,Neutered,Low,1.0,10.0,,4.0,21.77
Beagle,Small,Female,9.0,Neutered,Active,3.0,12.0,4.0,,26.31
Great Dane,Large,Female,11.0,Spayed,Active,4.0,10.0,2.0,0.0,26.31
German Shepherd,Large,Female,4.0,Spayed,Very Active,2.0,11.0,2.0,4.0,17.24
Golden Retriever,Large,Male,9.0,Neutered,,1.0,10.0,2.0,1.0,20.41
Bulldog,Medium,Male,3.0,Neutered,Moderate,3.0,11.0,1.0,3.0,24.04
German Shepherd,Large,Female,9.0,Neutered,Active,3.0,10.0,1.0,1.0,28.58
Chihuahua,Small,Male,4.0,,Very Active,3.0,9.0,0.0,1.0,29.94
Bulldog,Medium,Male,2.0,Spayed,Active,0.0,11.0,1.0,0.0,16.78
Australian Shepherd,Medium,Male,1.0,Spayed,Low,3.0,10.0,3.0,4.0,16.33
Great Dane,Large,Male,8.0,Neutered,Very Active,,11.0,1.0,0.0,23.59
Yorkshire Terrier,Small,Female,2.0,Neutered,Low,3.0,11.0,1.0,2.0,25.4
Siberian Husky,Medium,Male,10.0,Neutered,Active,3.0,12.0,1.0,2.0,25.4
Siberian Husky,Medium,Female,5.0,,Very Active,2.0,13.0,1.0,0.0,13.15
German Shepherd,Large,Male,6.0,Spayed,Active,6.0,11.0,2.0,0.0,24.04
Rottweiler,Large,Male,1.0,Spayed,Active,0.0,12.0,2.0,1.0,23.59
Chihuahua,Small,Male,8.0,Spayed,Very Active,2.0,10.0,2.0,4.0,23.59
Rottweiler,,Male,10.0,Neutered,Very Active,3.0,10.0,1.0,1.0,18.14
Dachshund,Small,Male,12.0,Spayed,Very Active,0.0,13.0,0.0,0.0,32.21
Siberian Husky,Medium,Male,13.0,Neutered,Very Active,4.0,11.0,1.0,4.0,20.87
Poodle,Small,Female,8.0,,Active,3.0,10.0,2.0,1.0,26.76
Siberian Husky,Medium,Female,12.0,Neutered,,1.0,8.0,1.0,2.0,30.84
Australian Shepherd,Medium,Male,3.0,,,4.0,11.0,1.0,2.0,15.42
Dachshund,Small,Female,4.0,Neutered,Active,0.0,9.0,2.0,0.0,25.85
Labrador Retriever,Large,Female,7.0,Spayed,Moderate,3.0,11.0,0.0,1.0,27.67
Yorkshire Terrier,Small,Female,5.0,Neutered,Low,1.0,9.0,4.0,1.0,24.04
Siberian Husky,Medium,Male,8.0,Neutered,Moderate,,10.0,2.0,0.0,19.05
Bulldog,Medium,Male,9.0,Spayed,Low,3.0,14.0,1.0,3.0,25.4
Dachshund,Small,Male,2.0,,Moderate,2.0,12.0,3.0,1.0,22.68
Labrador Retriever,Large,Male,7.0,Neutered,Low,4.0,11.0,0.0,1.0,14.06
Bulldog,Medium,Female,13.0,Spayed,Low,5.0,13.0,1.0,3.0,30.84
Rottweiler,Large,Female,3.0,Neutered,Moderate,2.0,12.0,1.0,1.0,24.95
,Large,Male,4.0,,Moderate,1.0,9.0,3.0,1.0,12.7
Labrador Retriever,Large,Male,13.0,Spayed,Low,3.0,13.0,1.0,1.0,28.12
Great Dane,Large,Female,13.0,Spayed,Active,3.0,8.0,1.0,1.0,18.6
Beagle,Small,Female,9.0,,Low,3.0,13.0,2.0,2.0,19.5
Boxer,Medium,Male,8.0,Spayed,Moderate,2.0,14.0,3.0,2.0,20.87
Great Dane,Large,Male,10.0,Neutered,Active,,11.0,,2.0,20.41
Doberman,Large,Male,5.0,,Active,7.0,12.0,1.0,3.0,26.31
Chihuahua,Small,Male,9.0,Spayed,,1.0,13.0,0.0,2.0,23.13
Golden Retriever,Large,Female,3.0,Spayed,Very Active,4.0,11.0,1.0,3.0,18.6
Bulldog,Medium,Male,7.0,Spayed,Very Active,3.0,13.0,0.0,3.0,17.69
Great Dane,Large,Female,9.0,Spayed,Active,1.0,11.0,2.0,2.0,19.05
Golden Retriever,Large,Male,5.0,Neutered,Moderate,3.0,10.0,1.0,1.0,18.6
Australian Shepherd,Medium,Male,13.0,Spayed,Active,5.0,10.0,0.0,1.0,23.13
Australian Shepherd,Medium,Female,7.0,Neutered,Moderate,4.0,11.0,1.0,1.0,29.48
Golden Retriever,Large,,9.0,Neutered,Active,1.0,12.0,3.0,1.0,17.69
Boxer,Medium,Female,2.0,Spayed,Very Active,3.0,11.0,1.0,1.0,18.14
Siberian Husky,Medium,Male,9.0,Neutered,Very Active,3.0,11.0,0.0,1.0,19.96
German Shepherd,Large,Male,2.0,Spayed,Moderate,0.0,11.0,0.0,2.0,32.66
Siberian Husky,,Male,3.0,Spayed,Active,2.0,10.0,0.0,0.0,21.32
Poodle,Small,Male,13.0,Spayed,Low,3.0,12.0,2.0,0.0,25.4
Labrador Retriever,Large,Female,2.0,Neutered,Active,2.0,10.0,3.0,0.0,
Rottweiler,Large,Male,8.0,Spayed,Active,2.0,10.0,1.0,2.0,22.68
Bulldog,Medium,Female,8.0,Spayed,,5.0,9.0,1.0,2.0,18.14
Chihuahua,Small,Female,11.0,Neutered,,2.0,11.0,2.0,1.0,18.14
Beagle,Small,Female,4.0,,Moderate,3.0,11.0,1.0,0.0,33.57
German Shepherd,Large,Female,10.0,Spayed,Active,0.0,11.0,2.0,0.0,11.79
Rottweiler,Large,Female,,,Active,1.0,10.0,1.0,3.0,20.87
Rottweiler,Large,Male,7.0,Neutered,Low,2.0,10.0,2.0,1.0,27.67
,Large,Male,2.0,Neutered,Moderate,2.0,9.0,1.0,0.0,19.96
Poodle,Small,Male,6.0,Neutered,Active,3.0,13.0,2.0,1.0,9.07
Australian Shepherd,Medium,Female,10.0,,Active,0.0,12.0,2.0,1.0,32.66
Golden Retriever,Large,Male,11.0,Spayed,Very Active,3.0,,2.0,1.0,18.14
Boxer,Medium,Male,6.0,Neutered,Very Active,4.0,12.0,1.0,3.0,14.06
Bulldog,Medium,Male,7.0,,Moderate,4.0,10.0,1.0,4.0,18.6
,Large,Female,2.0,,Active,4.0,11.0,2.0,1.0,17.24
Dachshund,Small,Male,6.0,,,5.0,12.0,,1.0,26.76
Golden Retriever,Large,Male,9.0,,Active,4.0,8.0,2.0,0.0,24.49
Great Dane,Large,Female,3.0,Neutered,,4.0,11.0,2.0,0.0,24.04
Labrador Retriever,Large,Female,8.0,,Very Active,1.0,13.0,2.0,2.0,20.87
Rottweiler,Large,Male,12.0,,Active,5.0,11.0,3.0,3.0,20.41
Australian Shepherd,Medium,Female,2.0,,Low,3.0,12.0,,2.0,29.48
Yorkshire Terrier,Small,Male,8.0,,Active,3.0,13.0,0.0,3.0,12.7
Great Dane,Large,Male,6.0,Spayed,Moderate,2.0,11.0,2.0,4.0,19.96
,Large,Male,7.0,Spayed,,0.0,11.0,1.0,2.0,19.96
Bulldog,Medium,Male,2.0,,,3.0,9.0,2.0,1.0,25.4
Poodle,Small,Male,6.0,Neutered,Low,3.0,13.0,2.0,2.0,24.95
Boxer,Medium,Female,11.0,Spayed,Very Active,4.0,9.0,2.0,1.0,22.68
Yorkshire Terrier,Small,Female,1.0,Neutered,,3.0,12.0,2.0,3.0,21.77
Doberman,Large,Male,2.0,Spayed,Active,2.0,12.0,2.0,1.0,24.49
Bulldog,Medium,Female,8.0,Neutered,Very Active,2.0,9.0,4.0,2.0,33.11
Yorkshire Terrier,,Male,10.0,Neutered,Low,3.0,11.0,2.0,2.0,16.33
Chihuahua,Small,Female,13.0,Spayed,Active,2.0,12.0,1.0,1.0,11.34
German Shepherd,Large,Female,2.0,Neutered,Moderate,2.0,13.0,0.0,3.0,18.14
Doberman,Large,,6.0,,Active,2.0,13.0,0.0,2.0,14.97
Doberman,Large,Female,2.0,Spayed,,3.0,14.0,2.0,2.0,10.43
Golden Retriever,Large,Female,9.0,Neutered,Very Active,2.0,,1.0,0.0,19.96
Boxer,Medium,Female,10.0,Neutered,Active,4.0,14.0,1.0,1.0,19.5
Australian Shepherd,Medium,,13.0,Spayed,Very Active,2.0,11.0,4.0,1.0,20.41
Bulldog,Medium,Male,10.0,Spayed,,,11.0,1.0,1.0,8.62
Beagle,Small,Female,8.0,Neutered,Active,2.0,8.0,1.0,1.0,24.49
German Shepherd,Large,Male,8.0,Neutered,Low,4.0,8.0,2.0,2.0,20.87
Labrador Retriever,Large,Male,2.0,Spayed,Very Active,0.0,12.0,1.0,1.0,25.4
Dachshund,Small,Male,1.0,Neutered,,1.0,14.0,2.0,1.0,15.88
Chihuahua,Small,Male,11.0,Spayed,,2.0,9.0,1.0,1.0,22.68
Poodle,Small,Male,1.0,Spayed,Very Active,3.0,11.0,1.0,1.0,23.13
German Shepherd,Large,Female,7.0,Neutered,Active,2.0,11.0,3.0,2.0,15.88
Great Dane,Large,Female,10.0,,Very Active,3.0,13.0,2.0,1.0,28.58
Chihuahua,Small,Female,5.0,,Low,2.0,12.0,1.0,3.0,29.94
German Shepherd,Large,Female,11.0,Neutered,,2.0,13.0,3.0,2.0,17.69
Siberian Husky,Medium,Female,2.0,Spayed,Active,3.0,12.0,3.0,0.0,24.95
Australian Shepherd,Medium,Female,8.0,Neutered,Active,2.0,11.0,0.0,0.0,20.41
Great Dane,Large,Female,9.0,,Very Active,1.0,12.0,1.0,1.0,39.92
Rottweiler,Large,Female,7.0,Neutered,Low,3.0,14.0,1.0,2.0,20.87
Labrador Retriever,Large,Female,1.0,Neutered,Very Active,3.0,12.0,0.0,2.0,20.41
Great Dane,Large,Male,7.0,Spayed,Moderate,2.0,13.0,2.0,1.0,28.58
Doberman,Large,Male,10.0,Neutered,Very Active,4.0,13.0,0.0,1.0,31.3
Labrador Retriever,Large,Female,7.0,,Active,4.0,12.0,2.0,0.0,19.5
Rottweiler,Large,Female,3.0,Spayed,Active,2.0,11.0,0.0,1.0,8.62
Beagle,Small,Male,8.0,Neutered,Moderate,3.0,11.0,2.0,4.0,9.98
Boxer,Medium,Female,2.0,,Very Active,3.0,13.0,3.0,3.0,16.78
Poodle,Small,Male,8.0,Spayed,Very Active,,8.0,2.0,0.0,18.14
Beagle,Small,Female,5.0,Neutered,,3.0,12.0,1.0,0.0,25.85
Golden Retriever,Large,Female,4.0,,Low,3.0,,3.0,3.0,19.96
Beagle,Small,Female,2.0,Spayed,Moderate,5.0,10.0,,0.0,28.12
,Large,Male,3.0,Neutered,Low,3.0,8.0,2.0,1.0,17.69
Labrador Retriever,Large,Female,3.0,,,6.0,10.0,,3.0,14.06
Siberian Husky,Medium,Male,,Neutered,Very Active,3.0,12.0,0.0,2.0,20.87
Doberman,Large,Male,3.0,,,2.0,11.0,2.0,2.0,16.78
German Shepherd,Large,Male,8.0,Neutered,Low,4.0,10.0,1.0,0.0,26.76
Poodle,Small,Male,2.0,Spayed,Very Active,3.0,12.0,2.0,0.0,10.43
Yorkshire Terrier,Small,Female,7.0,Neutered,Very Active,2.0,12.0,2.0,,21.77
Australian Shepherd,Medium,Female,5.0,Spayed,Moderate,3.0,11.0,1.0,1.0,31.75
Doberman,Large,Male,5.0,Neutered,Very Active,5.0,12.0,1.0,1.0,20.41
Australian Shepherd,Medium,Female,4.0,Neutered,Moderate,3.0,9.0,1.0,0.0,24.95
German Shepherd,Large,Female,7.0,,Active,4.0,10.0,1.0,3.0,20.87
Great Dane,Large,Female,8.0,Neutered,,2.0,11.0,1.0,3.0,28.58
,Large,Female,11.0,,Low,1.0,11.0,2.0,3.0,21.32
Poodle,Small,Female,8.0,,Very Active,3.0,9.0,0.0,2.0,24.95
Doberman,Large,Female,13.0,Neutered,Very Active,2.0,9.0,2.0,1.0,22.23
Siberian Husky,Medium,Female,9.0,Spayed,Active,3.0,10.0,1.0,1.0,30.39
Great Dane,Large,Female,6.0,Neutered,Moderate,0.0,9.0,2.0,2.0,17.69
German Shepherd,Large,Female,3.0,Neutered,Moderate,4.0,12.0,1.0,1.0,19.96
German Shepherd,Large,Female,7.0,Spayed,Very Active,2.0,9.0,1.0,0.0,25.85
German Shepherd,Large,Female,7.0,,Low,1.0,12.0,2.0,4.0,13.15
Siberian Husky,Medium,Female,10.0,,Very Active,2.0,13.0,3.0,3.0,31.3
Chihuahua,Small,Female,2.0,Spayed,Active,0.0,10.0,2.0,2.0,37.19
Poodle,Small,Male,11.0,Neutered,Very Active,4.0,12.0,,3.0,15.42
Doberman,Large,Female,1.0,Neutered,Very Active,3.0,11.0,1.0,1.0,20.87
Boxer,Medium,Male,10.0,,Low,3.0,11.0,1.0,2.0,22.23
Siberian Husky,Medium,Male,2.0,Spayed,Low,3.0,14.0,2.0,2.0,28.12
Boxer,Medium,Female,5.0,,Very Active,4.0,9.0,1.0,2.0,29.03
Poodle,Small,Male,7.0,Neutered,Very Active,4.0,12.0,1.0,1.0,21.32
Yorkshire Terrier,Small,Female,4.0,Neutered,,4.0,10.0,1.0,1.0,20.41
Labrador Retriever,Large,Female,3.0,Spayed,Very Active,1.0,12.0,1.0,3.0,25.4
Rottweiler,Large,Male,13.0,Spayed,Moderate,5.0,11.0,2.0,2.0,14.51
German Shepherd,Large,Male,10.0,Spayed,Very Active,2.0,12.0,2.0,1.0,22.68
Rottweiler,Large,Male,7.0,Neutered,Active,2.0,10.0,2.0,1.0,25.4
Siberian Husky,Medium,Male,3.0,,,6.0,9.0,1.0,2.0,21.77
Doberman,Large,Male,12.0,Spayed,Active,1.0,11.0,1.0,2.0,27.67
Golden Retriever,Large,Female,8.0,Neutered,,0.0,11.0,1.0,0.0,25.85
Siberian Husky,Medium,Female,4.0,Spayed,Low,,8.0,1.0,1.0,16.33
Siberian Husky,Medium,Male,5.0,Spayed,Low,3.0,14.0,1.0,1.0,20.41
Labrador Retriever,Large,Male,6.0,Neutered,,2.0,14.0,,4.0,32.66
