Breed,Breed Size,Sex,Age,Spay/Neuter Status,Daily Activity Level,Daily Walk Distance (miles),Hours of Sleep,Play Time (hrs),Annual Vet Visits,Weight (kg),Life Stage
Siberian Husky,Medium,Male,10.0,Spayed,Active,4.0,10.0,1.0,3.0,22.03,Senior
Chihuahua,Small,Female,6.0,Spayed,Unknown,1.0,12.0,0.0,3.0,3.38,Adult
Bulldog,Medium,Female,5.0,Unknown,Active,1.0,11.0,3.0,2.0,22.17,Adult
Yorkshire Terrier,Small,Male,4.0,Neutered,Active,1.0,13.0,2.0,3.0,3.17,Young Adult
German Shepherd,Large,Male,1.0,Neutered,Moderate,1.0,10.0,2.0,1.0,38.78,Puppy
German Shepherd,Large,Male,4.0,Unknown,Active,3.0,11.0,1.0,1.0,22.68,Young Adult
Chihuahua,Small,Female,8.0,Spayed,Very Active,0.0,14.0,1.0,2.0,2.04,Senior
Siberian Husky,Medium,Male,9.0,Spayed,Low,5.0,13.0,4.0,3.0,24.49,Senior
Great Dane,Large,Male,12.0,Spayed,Unknown,4.0,11.0,0.0,1.0,56.74,Senior
Poodle,Small,Female,7.0,Spayed,Unknown,1.0,12.0,2.0,1.0,14.97,Adult
Siberian Husky,Medium,Male,3.0,Spayed,Moderate,2.0,11.0,2.0,0.0,19.95,Young Adult
Yorkshire Terrier,Small,Female,1.0,Spayed,Unknown,1.0,11.0,0.0,1.0,4.7,Puppy
Unknown,Large,Female,6.0,Unknown,Very Active,3.0,12.0,4.0,3.0,29.48,Adult
German Shepherd,Large,Female,8.0,Neutered,Unknown,1.0,11.0,1.0,2.0,37.42,Senior
Australian Shepherd,Medium,Female,5.0,Neutered,Active,2.0,10.0,2.0,4.0,24.84,Adult
Chihuahua,Small,Male,6.0,Neutered,Low,3.0,13.0,2.0,3.0,2.52,Adult
Chihuahua,Small,Female,5.0,Spayed,Very Active,3.0,13.0,0.0,2.0,3.49,Adult
Yorkshire Terrier,Small,Male,8.0,Spayed,Unknown,1.0,11.0,0.0,4.0,4.09,Senior
German Shepherd,Large,Female,3.0,Unknown,Very Active,4.0,11.0,3.0,1.0,29.03,Young Adult
Beagle,Small,Male,4.0,Unknown,Active,4.0,11.0,2.0,3.0,14.0,Young Adult
Beagle,Small,Male,7.0,Neutered,Very Active,1.0,11.0,0.0,0.0,12.12,Adult
Rottweiler,Large,Male,12.0,Spayed,Unknown,3.0,11.0,2.0,1.0,38.85,Senior
Rottweiler,Large,Male,4.0,Neutered,Unknown,3.0,10.0,1.0,2.0,37.85,Young Adult
Doberman,Large,Female,4.0,Spayed,Active,1.0,11.0,3.0,1.0,30.84,Young Adult
Yorkshire Terrier,Small,Male,10.0,Neutered,Very Active,3.0,11.0,1.0,0.0,2.57,Senior
Golden Retriever,Large,Female,3.0,Neutered,Active,4.0,13.0,1.0,2.0,25.88,Young Adult
Australian Shepherd,Medium,Male,6.0,Neutered,Active,3.0,12.0,2.0,4.0,25.43,Adult
Dachshund,Small,Male,4.0,Spayed,Low,4.0,11.0,0.0,2.0,4.42,Young Adult
Great Dane,Large,Female,5.0,Spayed,Low,1.0,13.0,4.0,1.0,67.23,Adult
Dachshund,Small,Male,8.0,Unknown,Active,0.0,12.0,2.0,2.0,6.78,Senior
Chihuahua,Small,Female,6.0,Unknown,Active,4.0,13.0,2.0,0.0,2.81,Adult
Yorkshire Terrier,Small,Male,5.0,Neutered,Very Active,3.0,8.0,2.0,0.0,2.48,Adult
Chihuahua,Small,Male,6.0,Unknown,Moderate,1.0,11.0,1.0,4.0,1.4,Adult
Great Dane,Large,Female,12.0,Neutered,Moderate,5.0,11.0,1.0,1.0,70.99,Senior
Siberian Husky,Medium,Female,1.0,Unknown,Very Active,1.0,10.0,1.0,1.0,22.68,Puppy
Bulldog,Medium,Unknown,4.0,Spayed,Moderate,3.0,10.0,2.0,2.0,19.05,Young Adult
Yorkshire Terrier,Small,Male,6.0,Spayed,Very Active,3.0,11.0,2.0,2.0,2.46,Adult
Rottweiler,Large,Female,8.0,Spayed,Moderate,2.0,12.0,3.0,2.0,41.51,Senior
Bulldog,Medium,Female,1.0,Spayed,Moderate,3.0,11.0,2.0,4.0,20.63,Puppy
Boxer,Medium,Male,8.0,Neutered,Very Active,2.0,11.0,0.0,1.0,34.74,Senior
Labrador Retriever,Large,Female,13.0,Neutered,Low,0.0,14.0,1.0,1.0,31.72,Senior
Labrador Retriever,Large,Female,6.0,Spayed,Active,1.0,10.0,2.0,4.0,35.34,Adult
Great Dane,Large,Female,6.0,Neutered,Moderate,4.0,10.0,1.0,2.0,63.39,Adult
Australian Shepherd,Medium,Female,6.0,Neutered,Unknown,3.0,12.0,1.0,2.0,18.6,Adult
Rottweiler,Large,Female,2.0,Spayed,Active,3.0,12.0,2.0,1.0,35.53,Young Adult
Yorkshire Terrier,Small,Female,9.0,Unknown,Active,0.0,11.0,2.0,1.0,4.92,Senior
Poodle,Small,Female,3.0,Spayed,Active,6.0,10.0,2.0,2.0,14.97,Young Adult
Dachshund,Small,Female,4.0,Spayed,Moderate,2.0,10.0,3.0,1.0,5.92,Young Adult
Unknown,Medium,Male,6.0,Unknown,Unknown,0.0,11.0,1.0,2.0,27.22,Adult
Siberian Husky,Medium,Male,8.0,Unknown,Unknown,1.0,11.0,0.0,1.0,23.13,Senior
Poodle,Small,Male,10.0,Spayed,Active,4.0,9.0,3.0,2.0,20.41,Senior
Great Dane,Large,Male,7.0,Spayed,Very Active,4.0,10.0,1.0,1.0,70.83,Adult
Doberman,Large,Male,3.0,Unknown,Very Active,0.0,12.0,2.0,1.0,36.65,Young Adult
Siberian Husky,Medium,Female,8.0,Neutered,Unknown,5.0,10.0,1.0,2.0,23.13,Senior
Siberian Husky,Medium,Male,2.0,Spayed,Low,4.0,11.0,0.0,1.0,19.05,Young Adult
Beagle,Small,Female,12.0,Neutered,Unknown,2.0,10.0,1.0,1.0,9.47,Senior
Yorkshire Terrier,Small,Female,9.0,Spayed,Moderate,1.0,10.0,1.0,1.0,4.46,Senior
Golden Retriever,Large,Male,3.0,Neutered,Active,2.0,10.0,3.0,1.0,30.12,Young Adult
Dachshund,Unknown,Male,5.0,Neutered,Moderate,1.0,11.0,2.0,2.0,6.9,Adult
Rottweiler,Large,Female,6.0,Neutered,Low,3.0,13.0,3.0,1.0,38.3,Adult
Labrador Retriever,Large,Female,12.0,Neutered,Moderate,3.0,12.0,1.0,2.0,33.27,Senior
Siberian Husky,Unknown,Female,6.0,Unknown,Active,2.0,8.0,1.0,0.0,22.68,Adult
Dachshund,Small,Male,3.0,Unknown,Low,2.0,10.0,3.0,3.0,6.57,Young Adult
Beagle,Small,Female,5.0,Neutered,Moderate,0.0,11.0,2.0,1.0,13.65,Adult
Great Dane,Large,Male,10.0,Spayed,Low,3.0,12.0,1.0,1.0,45.94,Senior
Great Dane,Large,Female,9.0,Neutered,Low,3.0,11.0,3.0,1.0,66.52,Senior
Siberian Husky,Medium,Male,3.0,Spayed,Low,1.0,13.0,0.0,1.0,25.4,Young Adult
Labrador Retriever,Large,Unknown,5.0,Unknown,Active,1.0,12.0,1.0,1.0,32.57,Adult
Dachshund,Small,Male,12.0,Spayed,Very Active,2.0,11.0,2.0,1.0,7.59,Senior
Boxer,Medium,Female,9.0,Spayed,Low,3.0,10.0,1.0,1.0,33.32,Senior
Rottweiler,Large,Female,8.0,Unknown,Moderate,1.0,11.0,3.0,3.0,47.53,Senior
Chihuahua,Small,Male,9.0,Spayed,Low,2.0,8.0,1.0,2.0,1.62,Senior
Unknown,Large,Male,6.0,Spayed,Moderate,2.0,13.0,1.0,2.0,25.4,Adult
Doberman,Large,Female,3.0,Neutered,Low,2.0,12.0,1.0,0.0,31.75,Young Adult
Beagle,Small,Female,6.0,Spayed,Low,3.0,11.0,3.0,4.0,12.71,Adult
Chihuahua,Small,Male,8.0,Spayed,Active,4.0,13.0,3.0,0.0,1.98,Senior
Poodle,Small,Male,4.0,Neutered,Unknown,3.0,12.0,1.0,1.0,25.98,Young Adult
Unknown,Medium,Male,7.0,Spayed,Very Active,2.0,11.0,1.0,1.0,27.22,Adult
Siberian Husky,Medium,Male,4.0,Spayed,Very Active,2.0,11.0,0.0,4.0,23.13,Young Adult
Siberian Husky,Medium,Male,5.0,Neutered,Unknown,3.0,12.0,3.0,1.0,23.59,Adult
Australian Shepherd,Medium,Female,6.0,Unknown,Very Active,1.0,11.0,1.0,2.0,23.59,Adult
Bulldog,Medium,Female,1.0,Neutered,Unknown,2.0,12.0,1.0,2.0,20.87,Puppy
Great Dane,Large,Female,7.0,Neutered,Active,3.0,12.0,0.0,2.0,69.94,Adult
Poodle,Unknown,Female,6.0,Neutered,Unknown,2.0,12.0,1.0,4.0,22.68,Adult
German Shepherd,Large,Male,6.0,Spayed,Active,2.0,10.0,0.0,1.0,25.85,Adult
Poodle,Small,Male,2.0,Spayed,Moderate,2.0,9.0,1.0,0.0,17.24,Young Adult
Yorkshire Terrier,Small,Male,6.0,Unknown,Unknown,0.0,12.0,2.0,1.0,4.27,Adult
Rottweiler,Large,Male,13.0,Neutered,Low,0.0,8.0,2.0,2.0,53.38,Senior
Chihuahua,Small,Female,13.0,Neutered,Moderate,2.0,9.0,1.0,2.0,3.45,Senior
Chihuahua,Small,Female,5.0,Spayed,Unknown,4.0,14.0,4.0,4.0,2.19,Adult
Unknown,Medium,Male,4.0,Unknown,Very Active,2.0,12.0,2.0,3.0,18.14,Young Adult
Golden Retriever,Large,Male,10.0,Spayed,Moderate,3.0,12.0,2.0,0.0,28.4,Senior
Doberman,Large,Female,10.0,Neutered,Active,1.0,14.0,2.0,2.0,33.57,Senior
Boxer,Medium,Female,13.0,Neutered,Active,5.0,13.0,1.0,2.0,25.77,Senior
Doberman,Large,Female,6.0,Spayed,Moderate,3.0,10.0,3.0,4.0,39.14,Adult
Bulldog,Medium,Male,6.0,Spayed,Unknown,3.0,12.0,1.0,2.0,23.96,Adult
Australian Shepherd,Medium,Male,5.0,Spayed,Active,3.0,11.0,2.0,2.0,21.42,Adult
Beagle,Small,Male,4.0,Neutered,Low,0.0,10.0,1.0,1.0,9.89,Young Adult
Rottweiler,Large,Female,13.0,Spayed,Unknown,3.0,8.0,1.0,1.0,45.19,Senior
Rottweiler,Large,Female,3.0,Spayed,Unknown,3.0,12.0,0.0,0.0,35.23,Young Adult
Great Dane,Large,Female,8.0,Neutered,Active,4.0,13.0,1.0,0.0,76.38,Senior
Yorkshire Terrier,Small,Male,10.0,Neutered,Very Active,2.0,10.0,0.0,0.0,2.19,Senior
Golden Retriever,Large,Male,7.0,Spayed,Unknown,1.0,10.0,3.0,1.0,25.2,Adult
Labrador Retriever,Unknown,Male,1.0,Spayed,Moderate,3.0,13.0,3.0,3.0,29.03,Puppy
Doberman,Large,Female,3.0,Unknown,Low,3.0,11.0,1.0,2.0,27.22,Young Adult
Labrador Retriever,Large,Male,2.0,Unknown,Moderate,2.0,11.0,1.0,3.0,31.75,Young Adult
Doberman,Large,Female,6.0,Neutered,Very Active,1.0,10.0,1.0,2.0,39.98,Adult
Australian Shepherd,Medium,Female,3.0,Neutered,Low,4.0,11.0,1.0,1.0,31.3,Young Adult
Rottweiler,Large,Unknown,3.0,Unknown,Low,2.0,13.0,2.0,0.0,54.5,Young Adult
Siberian Husky,Medium,Female,6.0,Neutered,Unknown,2.0,9.0,0.0,0.0,16.03,Adult
Boxer,Medium,Female,10.0,Neutered,Active,1.0,11.0,2.0,1.0,35.77,Senior
Labrador Retriever,Large,Male,8.0,Neutered,Unknown,2.0,10.0,2.0,1.0,26.76,Senior
Yorkshire Terrier,Small,Male,6.0,Unknown,Unknown,3.0,12.0,1.0,2.0,2.93,Adult
Rottweiler,Large,Male,11.0,Unknown,Low,2.0,12.0,2.0,1.0,35.83,Senior
Chihuahua,Small,Female,4.0,Unknown,Moderate,4.0,14.0,2.0,3.0,3.85,Young Adult
Siberian Husky,Medium,Female,5.0,Neutered,Low,3.0,12.0,2.0,0.0,21.77,Adult
Yorkshire Terrier,Small,Male,5.0,Spayed,Low,2.0,12.0,3.0,1.0,3.39,Adult
Beagle,Small,Male,7.0,Neutered,Active,3.0,12.0,1.0,1.0,14.0,Adult
Unknown,Small,Female,1.0,Neutered,Moderate,4.0,12.0,2.0,1.0,19.05,Puppy
Golden Retriever,Large,Female,12.0,Neutered,Active,2.0,12.0,2.0,1.0,28.95,Senior
German Shepherd,Large,Female,1.0,Spayed,Active,5.0,12.0,0.0,0.0,37.27,Puppy
Doberman,Large,Female,10.0,Spayed,Unknown,2.0,13.0,2.0,2.0,42.48,Senior
Doberman,Large,Female,10.0,Spayed,Unknown,2.0,11.0,1.0,2.0,32.21,Senior
Doberman,Large,Unknown,12.0,Unknown,Very Active,1.0,14.0,2.0,1.0,34.02,Senior
Great Dane,Large,Male,7.0,Spayed,Moderate,4.0,12.0,1.0,0.0,58.35,Adult
Boxer,Medium,Male,10.0,Neutered,Moderate,4.0,12.0,1.0,2.0,31.3,Senior
Bulldog,Medium,Male,7.0,Spayed,Active,2.0,10.0,1.0,3.0,19.44,Adult
Golden Retriever,Large,Female,8.0,Neutered,Unknown,2.0,9.0,1.0,0.0,32.79,Senior
Poodle,Small,Female,3.0,Neutered,Active,3.0,10.0,2.0,2.0,25.85,Young Adult
Bulldog,Medium,Female,13.0,Spayed,Low,3.0,12.0,3.0,2.0,22.23,Senior
Labrador Retriever,Large,Male,5.0,Spayed,Very Active,5.0,12.0,1.0,3.0,28.58,Adult
German Shepherd,Large,Female,8.0,Spayed,Low,1.0,11.0,3.0,1.0,26.02,Senior
Yorkshire Terrier,Small,Male,1.0,Spayed,Low,2.0,12.0,1.0,1.0,4.7,Puppy
Dachshund,Small,Male,6.0,Neutered,Very Active,2.0,11.0,1.0,1.0,4.11,Adult
Siberian Husky,Medium,Female,4.0,Spayed,Active,3.0,11.0,1.0,3.0,25.49,Young Adult
German Shepherd,Large,Female,3.0,Spayed,Moderate,5.0,11.0,2.0,0.0,28.12,Young Adult
Poodle,Small,Female,10.0,Spayed,Unknown,2.0,12.0,2.0,2.0,15.42,Senior
Dachshund,Small,Male,4.0,Spayed,Low,2.0,9.0,1.0,0.0,4.18,Young Adult
Dachshund,Small,Female,5.0,Spayed,Moderate,2.0,10.0,2.0,0.0,7.04,Adult
Unknown,Medium,Female,1.0,Spayed,Very Active,4.0,10.0,3.0,4.0,19.05,Puppy
Australian Shepherd,Medium,Female,13.0,Spayed,Moderate,5.0,14.0,2.0,4.0,19.96,Senior
Siberian Husky,Medium,Female,12.0,Spayed,Active,2.0,11.0,3.0,1.0,21.66,Senior
Great Dane,Large,Female,2.0,Spayed,Active,0.0,12.0,1.0,1.0,66.9,Young Adult
Chihuahua,Small,Female,8.0,Unknown,Moderate,2.0,11.0,1.0,1.0,3.51,Senior
Chihuahua,Small,Female,10.0,Spayed,Unknown,2.0,8.0,2.0,3.0,1.53,Senior
German Shepherd,Large,Male,2.0,Neutered,Very Active,1.0,13.0,2.0,2.0,31.06,Young Adult
Chihuahua,Small,Male,2.0,Spayed,Very Active,2.0,10.0,0.0,4.0,1.19,Young Adult
Rottweiler,Large,Female,8.0,Spayed,Active,0.0,11.0,1.0,4.0,48.67,Senior
Chihuahua,Small,Male,6.0,Neutered,Very Active,1.0,12.0,1.0,0.0,1.32,Adult
Beagle,Small,Female,11.0,Spayed,Unknown,1.0,9.0,0.0,3.0,14.97,Senior
Labrador Retriever,Large,Female,4.0,Unknown,Very Active,2.0,11.0,1.0,2.0,33.04,Young Adult
Poodle,Small,Female,2.0,Spayed,Unknown,1.0,13.0,2.0,0.0,16.33,Young Adult
Australian Shepherd,Medium,Male,12.0,Spayed,Active,2.0,10.0,2.0,2.0,19.5,Senior
Unknown,Small,Female,8.0,Unknown,Unknown,0.0,11.0,1.0,1.0,19.5,Senior
Bulldog,Medium,Female,13.0,Spayed,Active,3.0,13.0,3.0,1.0,24.95,Senior
Bulldog,Medium,Female,3.0,Neutered,Moderate,2.0,10.0,2.0,1.0,22.32,Young Adult
Australian Shepherd,Medium,Male,4.0,Spayed,Moderate,2.0,10.0,1.0,2.0,30.39,Young Adult
Siberian Husky,Medium,Female,2.0,Spayed,Very Active,5.0,12.0,1.0,1.0,20.41,Young Adult
Siberian Husky,Medium,Male,3.0,Neutered,Very Active,6.0,12.0,3.0,1.0,18.6,Young Adult
Golden Retriever,Large,Male,5.0,Unknown,Moderate,3.0,10.0,3.0,1.0,33.22,Adult
Great Dane,Large,Male,6.0,Spayed,Low,3.0,11.0,1.0,0.0,53.79,Adult
Siberian Husky,Medium,Male,4.0,Unknown,Unknown,2.0,13.0,0.0,1.0,22.68,Young Adult
Dachshund,Small,Female,2.0,Spayed,Unknown,1.0,8.0,1.0,1.0,4.95,Young Adult
Great Dane,Large,Unknown,10.0,Unknown,Very Active,4.0,13.0,2.0,3.0,81.51,Senior
Rottweiler,Large,Female,12.0,Spayed,Very Active,3.0,10.0,1.0,3.0,40.06,Senior
Australian Shepherd,Medium,Male,8.0,Spayed,Unknown,3.0,9.0,1.0,3.0,30.21,Senior
Bulldog,Medium,Female,1.0,Unknown,Active,5.0,10.0,3.0,2.0,19.96,Puppy
Yorkshire Terrier,Small,Male,3.0,Spayed,Very Active,3.0,11.0,2.0,3.0,3.53,Young Adult
Great Dane,Large,Unknown,3.0,Spayed,Unknown,4.0,8.0,1.0,3.0,74.94,Young Adult
Boxer,Medium,Unknown,2.0,Neutered,Very Active,5.0,9.0,0.0,0.0,30.25,Young Adult
Australian Shepherd,Medium,Male,12.0,Spayed,Very Active,3.0,13.0,0.0,0.0,23.34,Senior
Dachshund,Small,Female,5.0,Neutered,Low,3.0,13.0,1.0,2.0,8.59,Adult
Yorkshire Terrier,Small,Male,11.0,Neutered,Active,0.0,11.0,3.0,1.0,2.25,Senior
Great Dane,Large,Female,3.0,Spayed,Low,0.0,11.0,2.0,2.0,61.61,Young Adult
Great Dane,Large,Female,8.0,Neutered,Unknown,1.0,8.0,2.0,1.0,47.69,Senior
Bulldog,Medium,Male,10.0,Neutered,Unknown,1.0,12.0,1.0,4.0,23.54,Senior
Poodle,Small,Male,2.0,Spayed,Moderate,2.0,11.0,1.0,3.0,25.4,Young Adult
Chihuahua,Small,Male,6.0,Unknown,Unknown,3.0,12.0,1.0,1.0,3.69,Adult
Beagle,Small,Male,2.0,Spayed,Moderate,4.0,12.0,0.0,3.0,14.86,Young Adult
Golden Retriever,Large,Male,10.0,Unknown,Active,4.0,9.0,0.0,2.0,26.31,Senior
Dachshund,Small,Female,6.0,Spayed,Unknown,4.0,11.0,0.0,1.0,8.87,Adult
Boxer,Medium,Male,2.0,Spayed,Unknown,3.0,11.0,3.0,0.0,31.75,Young Adult
Rottweiler,Large,Male,7.0,Neutered,Unknown,5.0,10.0,1.0,1.0,44.21,Adult
Australian Shepherd,Medium,Female,12.0,Spayed,Moderate,3.0,11.0,3.0,2.0,23.59,Senior
Siberian Husky,Medium,Unknown,3.0,Unknown,Moderate,2.0,8.0,2.0,2.0,21.67,Young Adult
Rottweiler,Large,Female,6.0,Neutered,Very Active,4.0,10.0,2.0,2.0,48.52,Adult
Labrador Retriever,Large,Male,10.0,Neutered,Active,3.0,12.0,1.0,2.0,30.49,Senior
Boxer,Medium,Male,13.0,Neutered,Low,4.0,10.0,1.0,1.0,35.33,Senior
Yorkshire Terrier,Small,Male,3.0,Unknown,Very Active,4.0,11.0,1.0,3.0,3.47,Young Adult
Chihuahua,Small,Male,12.0,Spayed,Low,3.0,10.0,1.0,1.0,3.67,Senior
Golden Retriever,Large,Female,4.0,Spayed,Moderate,1.0,11.0,0.0,1.0,25.85,Young Adult
Labrador Retriever,Large,Male,6.0,Unknown,Moderate,3.0,9.0,0.0,2.0,27.64,Adult
German Shepherd,Large,Female,8.0,Spayed,Very Active,3.0,12.0,3.0,0.0,24.04,Senior
Dachshund,Small,Female,10.0,Neutered,Unknown,3.0,11.0,2.0,2.0,5.41,Senior
Great Dane,Large,Male,13.0,Unknown,Unknown,1.0,12.0,1.0,3.0,74.6,Senior
Boxer,Medium,Male,13.0,Spayed,Moderate,2.0,11.0,1.0,2.0,27.43,Senior
Rottweiler,Large,Female,11.0,Neutered,Moderate,2.0,11.0,0.0,0.0,38.83,Senior
Golden Retriever,Large,Male,5.0,Spayed,Moderate,3.0,10.0,0.0,1.0,28.03,Adult
Chihuahua,Small,Female,1.0,Unknown,Very Active,3.0,11.0,1.0,3.0,1.6,Puppy
Labrador Retriever,Large,Male,6.0,Spayed,Active,0.0,12.0,1.0,0.0,30.46,Adult
Doberman,Large,Male,13.0,Neutered,Unknown,4.0,10.0,0.0,1.0,33.88,Senior
Rottweiler,Large,Unknown,1.0,Neutered,Low,0.0,12.0,1.0,1.0,59.78,Puppy
Boxer,Medium,Female,3.0,Spayed,Very Active,3.0,10.0,1.0,1.0,28.81,Young Adult
Labrador Retriever,Large,Female,4.0,Unknown,Active,2.0,10.0,4.0,2.0,32.66,Young Adult
Yorkshire Terrier,Small,Female,2.0,Unknown,Very Active,3.0,13.0,2.0,2.0,4.4,Young Adult
Rottweiler,Large,Male,5.0,Unknown,Very Active,2.0,12.0,1.0,1.0,59.66,Adult
Siberian Husky,Medium,Male,2.0,Neutered,Active,6.0,13.0,1.0,2.0,19.02,Young Adult
Rottweiler,Unknown,Female,12.0,Unknown,Moderate,2.0,12.0,1.0,3.0,52.08,Senior
Golden Retriever,Large,Male,2.0,Neutered,Unknown,3.0,11.0,0.0,4.0,26.76,Young Adult
Siberian Husky,Medium,Male,11.0,Spayed,Low,3.0,10.0,3.0,2.0,24.04,Senior
Siberian Husky,Medium,Male,13.0,Spayed,Low,2.0,8.0,2.0,1.0,24.04,Senior
German Shepherd,Large,Female,11.0,Neutered,Very Active,4.0,13.0,3.0,2.0,28.9,Senior
Labrador Retriever,Large,Male,1.0,Spayed,Active,3.0,11.0,1.0,1.0,29.07,Puppy
Boxer,Medium,Female,2.0,Neutered,Unknown,4.0,11.0,2.0,2.0,30.95,Young Adult
Boxer,Medium,Female,10.0,Spayed,Very Active,0.0,11.0,2.0,1.0,33.03,Senior
Poodle,Small,Female,6.0,Spayed,Very Active,3.0,12.0,2.0,1.0,31.3,Adult
Boxer,Medium,Male,2.0,Unknown,Moderate,4.0,11.0,2.0,2.0,30.84,Young Adult
Yorkshire Terrier,Small,Male,5.0,Unknown,Moderate,4.0,11.0,0.0,1.0,2.08,Adult
Great Dane,Large,Male,11.0,Neutered,Low,2.0,12.0,0.0,2.0,79.15,Senior
Great Dane,Large,Female,3.0,Neutered,Very Active,2.0,13.0,2.0,1.0,51.69,Young Adult
Bulldog,Medium,Female,9.0,Neutered,Active,3.0,12.0,0.0,1.0,18.27,Senior
Beagle,Small,Female,4.0,Unknown,Very Active,3.0,14.0,1.0,2.0,11.54,Young Adult
Bulldog,Medium,Male,8.0,Neutered,Very Active,4.0,9.0,2.0,1.0,18.75,Senior
Rottweiler,Large,Female,12.0,Neutered,Very Active,4.0,11.0,1.0,1.0,50.64,Senior
Chihuahua,Small,Female,4.0,Unknown,Moderate,2.0,13.0,1.0,2.0,1.93,Young Adult
Rottweiler,Large,Male,4.0,Neutered,Low,3.0,10.0,3.0,1.0,38.03,Young Adult
German Shepherd,Large,Female,11.0,Neutered,Active,3.0,9.0,2.0,2.0,22.79,Senior
Boxer,Medium,Female,8.0,Unknown,Low,2.0,12.0,1.0,2.0,26.76,Senior
Rottweiler,Large,Female,11.0,Neutered,Low,2.0,9.0,2.0,1.0,51.35,Senior
Siberian Husky,Medium,Female,6.0,Neutered,Active,2.0,12.0,2.0,0.0,19.42,Adult
Chihuahua,Small,Male,13.0,Neutered,Very Active,2.0,11.0,0.0,4.0,3.66,Senior
Poodle,Small,Male,10.0,Spayed,Very Active,0.0,12.0,3.0,2.0,23.13,Senior
Poodle,Small,Male,2.0,Spayed,Unknown,1.0,12.0,1.0,0.0,22.68,Young Adult
Australian Shepherd,Medium,Male,3.0,Unknown,Unknown,3.0,8.0,1.0,1.0,20.41,Young Adult
Boxer,Medium,Male,8.0,Unknown,Unknown,2.0,12.0,0.0,1.0,30.84,Senior
Poodle,Small,Male,7.0,Unknown,Low,1.0,12.0,1.0,3.0,29.03,Adult
Golden Retriever,Large,Male,7.0,Unknown,Unknown,4.0,11.0,1.0,3.0,27.67,Adult
Boxer,Medium,Male,11.0,Spayed,Active,2.0,12.0,0.0,0.0,35.08,Senior
Labrador Retriever,Large,Male,11.0,Spayed,Moderate,5.0,8.0,3.0,1.0,31.04,Senior
Chihuahua,Small,Female,5.0,Unknown,Very Active,2.0,11.0,1.0,0.0,3.21,Adult
Beagle,Small,Male,8.0,Spayed,Unknown,1.0,10.0,1.0,2.0,15.88,Senior
Chihuahua,Small,Female,3.0,Spayed,Low,1.0,12.0,0.0,0.0,3.27,Young Adult
Doberman,Large,Female,6.0,Neutered,Low,4.0,13.0,1.0,4.0,33.72,Adult
Dachshund,Small,Male,1.0,Unknown,Very Active,2.0,10.0,1.0,3.0,6.53,Puppy
Chihuahua,Small,Male,8.0,Neutered,Low,3.0,10.0,1.0,3.0,1.43,Senior
Yorkshire Terrier,Small,Female,13.0,Unknown,Very Active,2.0,8.0,2.0,4.0,4.23,Senior
Rottweiler,Large,Male,6.0,Unknown,Moderate,5.0,10.0,0.0,2.0,35.78,Adult
Yorkshire Terrier,Small,Male,1.0,Unknown,Very Active,0.0,10.0,0.0,1.0,3.28,Puppy
German Shepherd,Large,Male,12.0,Unknown,Low,2.0,11.0,0.0,4.0,31.75,Senior
Boxer,Medium,Female,6.0,Spayed,Moderate,2.0,12.0,2.0,2.0,31.62,Adult
Labrador Retriever,Large,Male,5.0,Unknown,Active,2.0,10.0,3.0,1.0,32.34,Adult
Poodle,Small,Female,4.0,Spayed,Unknown,2.0,10.0,2.0,1.0,16.78,Young Adult
Poodle,Small,Male,5.0,Neutered,Unknown,4.0,13.0,1.0,3.0,11.09,Adult
Yorkshire Terrier,Small,Female,2.0,Spayed,Low,0.0,13.0,0.0,3.0,4.37,Young Adult
Beagle,Small,Male,4.0,Spayed,Moderate,2.0,10.0,3.0,3.0,13.09,Young Adult
Beagle,Small,Female,12.0,Unknown,Active,1.0,9.0,0.0,2.0,14.43,Senior
Doberman,Large,Unknown,6.0,Unknown,Active,2.0,14.0,1.0,2.0,28.53,Adult
Chihuahua,Small,Female,6.0,Neutered,Active,3.0,13.0,0.0,2.0,1.68,Adult
Bulldog,Medium,Male,6.0,Spayed,Unknown,1.0,9.0,1.0,2.0,20.87,Adult
Boxer,Medium,Male,6.0,Neutered,Moderate,3.0,10.0,1.0,2.0,31.3,Adult
Doberman,Large,Male,6.0,Spayed,Moderate,2.0,9.0,0.0,3.0,39.55,Adult
Beagle,Small,Male,9.0,Spayed,Active,3.0,10.0,2.0,0.0,11.39,Senior
Beagle,Small,Female,3.0,Neutered,Moderate,3.0,10.0,2.0,1.0,15.37,Young Adult
Rottweiler,Large,Female,4.0,Spayed,Unknown,2.0,10.0,3.0,1.0,51.25,Young Adult
Doberman,Large,Female,3.0,Unknown,Very Active,5.0,11.0,2.0,1.0,41.56,Young Adult
Great Dane,Large,Female,9.0,Neutered,Moderate,1.0,9.0,1.0,1.0,51.61,Senior
Yorkshire Terrier,Small,Male,2.0,Spayed,Active,2.0,14.0,1.0,2.0,4.57,Young Adult
Beagle,Small,Male,7.0,Unknown,Very Active,2.0,11.0,1.0,4.0,11.79,Adult
Labrador Retriever,Large,Female,11.0,Unknown,Very Active,3.0,8.0,0.0,2.0,25.4,Senior
Beagle,Small,Male,4.0,Unknown,Moderate,1.0,11.0,3.0,4.0,14.03,Young Adult
Chihuahua,Small,Male,7.0,Unknown,Very Active,3.0,9.0,0.0,1.0,1.58,Adult
