Breed,Breed Size,Sex,Age,Weight (lbs),Spay/Neuter Status,Daily Activity Level,Daily Walk Distance (miles),Other Pets in Household,Seizures,Hours of Sleep,Play Time (hrs),Owner Activity Level,Annual Vet Visits,Average Temperature (F)
Yorkshire Terrier,Small,Male,4.0,6.7,Spayed,Active,1.0,Yes,No,12.0,0.0,Moderate,1.0,68.0
Yorkshire Terrier,Small,Male,4.0,8.2,Spayed,Active,4.0,No,No,12.0,3.0,Very Active,1.0,46.0
Beagle,Small,Male,3.0,30.0,Spayed,Active,3.0,No,No,11.0,0.0,Moderate,0.0,63.0
Chihuahua,Small,Female,1.0,5.8,Neutered,Very Active,1.0,No,No,10.0,2.0,Moderate,1.0,50.0
Beagle,Small,Female,2.0,24.0,Neutered,Very Active,4.0,No,No,9.0,1.0,Low,2.0,50.0
Dachshund,Small,Male,11.0,8.8,Neutered,Active,1.0,Yes,No,13.0,2.0,Very Active,1.0,39.0
Chihuahua,Small,Female,6.0,2.3,Neutered,Active,3.0,No,No,8.0,1.0,Moderate,2.0,88.0
Poodle,Small,Female,2.0,50.0,Spayed,Low,2.0,Yes,No,14.0,2.0,Active,1.0,31.0
Poodle,Small,Male,11.0,54.0,Spayed,Very Active,4.0,No,No,11.0,0.0,Low,1.0,71.0
Beagle,Small,Female,10.0,27.8,Spayed,Very Active,1.0,Yes,No,11.0,1.0,Very Active,0.0,69.0
Yorkshire Terrier,Small,Male,2.0,9.6,Spayed,Very Active,3.0,Yes,No,13.0,3.0,Very Active,1.0,58.0
Yorkshire Terrier,Small,Female,8.0,4.8,Neutered,Low,2.0,Yes,No,8.0,1.0,Very Active,3.0,52.0
Yorkshire Terrier,Small,Male,3.0,4.8,Spayed,Active,3.0,No,No,10.0,1.0,Low,2.0,49.0
Beagle,Small,Female,13.0,26.0,Spayed,Active,2.0,No,No,10.0,4.0,Active,2.0,50.0
Yorkshire Terrier,Small,Female,3.0,8.7,Neutered,Active,5.0,No,No,9.0,2.0,Low,1.0,72.0
Dachshund,Small,Male,6.0,11.8,Spayed,Very Active,3.0,No,No,13.0,2.0,Very Active,1.0,87.0
Poodle,Small,Female,1.0,59.0,Neutered,Very Active,3.0,Yes,No,14.0,3.0,Moderate,3.0,54.0
Beagle,Small,Male,8.0,27.1,Spayed,Active,4.0,Yes,No,10.0,1.0,Low,2.0,55.0
Chihuahua,Small,Male,2.0,2.8,Spayed,Low,1.0,Yes,No,12.0,2.0,Very Active,2.0,76.0
Poodle,Small,Male,5.0,48.0,Spayed,Active,1.0,Yes,No,9.0,0.0,Moderate,2.0,60.0
Dachshund,Small,Male,2.0,18.0,Neutered,Very Active,2.0,No,No,14.0,2.0,Very Active,3.0,87.0
Dachshund,Small,Female,7.0,11.6,Spayed,Low,3.0,Yes,No,13.0,2.0,Very Active,1.0,59.0
Chihuahua,Small,Female,4.0,2.1,Spayed,Active,2.0,Yes,No,12.0,2.0,Active,2.0,64.0
Yorkshire Terrier,Small,Female,7.0,9.8,Spayed,Low,3.0,No,No,11.0,2.0,Very Active,2.0,79.0
Dachshund,Small,Male,5.0,11.2,Spayed,Very Active,5.0,Yes,No,11.0,3.0,Very Active,1.0,54.0
Beagle,Small,Male,7.0,33.0,Spayed,Active,1.0,Yes,No,10.0,1.0,Active,1.0,63.0
Yorkshire Terrier,Small,Female,9.0,7.4,Spayed,Active,3.0,No,No,9.0,2.0,Very Active,3.0,83.0
Dachshund,Small,Female,9.0,11.2,Spayed,Active,1.0,No,No,10.0,2.0,Active,1.0,30.0
Dachshund,Small,Female,12.0,9.2,Spayed,Active,1.0,Yes,No,11.0,1.0,Moderate,3.0,67.0
Yorkshire Terrier,Small,Female,13.0,8.5,Neutered,Moderate,4.0,No,No,12.0,1.0,Moderate,2.0,76.0
Beagle,Small,Female,6.0,21.6,Spayed,Active,0.0,Yes,No,11.0,0.0,Very Active,2.0,78.0
Poodle,Small,Female,10.0,65.0,Spayed,Very Active,0.0,No,No,11.0,2.0,Very Active,1.0,44.0
Poodle,Small,Male,1.0,62.0,Neutered,Moderate,2.0,Yes,No,12.0,2.0,Moderate,4.0,39.0
Chihuahua,Small,Female,6.0,4.1,Spayed,Very Active,0.0,Yes,No,11.0,1.0,Active,1.0,76.0
Chihuahua,Small,Male,1.0,7.1,Spayed,Active,3.0,Yes,No,12.0,1.0,Very Active,2.0,55.0
Dachshund,Small,Female,5.0,16.0,Spayed,Low,2.0,Yes,No,10.0,1.0,Very Active,3.0,66.0
Poodle,Small,Male,11.0,25.0,Spayed,Active,2.0,No,No,11.0,2.0,Low,1.0,68.0
Dachshund,Small,Female,3.0,12.5,Neutered,Moderate,4.0,Yes,No,12.0,2.0,Very Active,1.0,61.0
Poodle,Small,Male,6.0,41.0,Neutered,Moderate,2.0,Yes,No,10.0,1.0,Very Active,0.0,53.0
Beagle,Small,Female,3.0,28.9,Neutered,Moderate,0.0,Yes,No,14.0,2.0,Active,3.0,39.0
Chihuahua,Small,Male,3.0,5.4,Spayed,Active,4.0,Yes,No,9.0,2.0,Active,0.0,76.0
Yorkshire Terrier,Small,Female,12.0,6.1,Neutered,Active,1.0,No,No,11.0,3.0,Low,1.0,69.0
Dachshund,Small,Female,9.0,17.5,Neutered,Very Active,1.0,No,No,11.0,2.0,Very Active,1.0,88.0
Yorkshire Terrier,Small,Female,9.0,4.9,Spayed,Moderate,2.0,Yes,No,11.0,0.0,Very Active,2.0,55.0
Yorkshire Terrier,Small,Female,2.0,6.4,Spayed,Active,3.0,No,No,10.0,2.0,Low,3.0,76.0
Yorkshire Terrier,Small,Female,4.0,6.9,Spayed,Active,0.0,No,No,13.0,2.0,Very Active,0.0,55.0
Dachshund,Small,Male,7.0,14.4,Spayed,Moderate,3.0,No,No,10.0,1.0,Active,1.0,76.0
Poodle,Small,Male,8.0,66.0,Neutered,Moderate,3.0,Yes,No,9.0,3.0,Low,3.0,53.0
Dachshund,Small,Male,2.0,8.5,Neutered,Active,3.0,No,No,10.0,2.0,Very Active,0.0,66.0
Beagle,Small,Male,9.0,32.1,Neutered,Very Active,3.0,Yes,No,13.0,1.0,Moderate,1.0,65.0
Beagle,Small,Female,3.0,24.0,Spayed,Very Active,3.0,Yes,No,13.0,2.0,Moderate,2.0,59.0
Yorkshire Terrier,Small,Male,1.0,6.1,Spayed,Very Active,3.0,Yes,No,12.0,2.0,Very Active,0.0,53.0
Beagle,Small,Male,1.0,31.1,Neutered,Active,0.0,Yes,No,12.0,0.0,Very Active,0.0,39.0
Poodle,Small,Male,13.0,56.0,Spayed,Low,3.0,Yes,No,11.0,3.0,Moderate,1.0,60.0
Dachshund,Small,Male,4.0,8.2,Neutered,Active,3.0,No,No,12.0,2.0,Active,2.0,69.0
Beagle,Small,Female,9.0,25.7,Neutered,Very Active,5.0,No,No,11.0,2.0,Moderate,1.0,50.0
Beagle,Small,Female,1.0,31.2,Spayed,Active,3.0,No,No,12.0,1.0,Moderate,1.0,100.0
Yorkshire Terrier,Small,Male,8.0,9.8,Spayed,Active,3.0,Yes,Yes,12.0,4.0,Very Active,2.0,53.0
Yorkshire Terrier,Small,Male,6.0,9.9,Neutered,Very Active,2.0,Yes,No,11.0,2.0,Low,0.0,79.0
Yorkshire Terrier,Small,Female,4.0,5.0,Spayed,Low,2.0,Yes,No,12.0,1.0,Very Active,2.0,43.0
Chihuahua,Small,Male,13.0,6.1,Spayed,Low,2.0,No,No,13.0,2.0,Low,2.0,70.0
Beagle,Small,Male,13.0,31.0,Neutered,Active,2.0,No,No,10.0,2.0,Low,1.0,45.0
Yorkshire Terrier,Small,Male,13.0,7.4,Spayed,Low,2.0,No,No,14.0,1.0,Moderate,1.0,69.0
Poodle,Small,Female,13.0,50.0,Neutered,Low,1.0,No,No,9.0,2.0,Low,1.0,41.0
Australian Shepherd,Small,Male,5.0,41.0,Neutered,Very Active,4.0,No,No,10.0,1.0,Very Active,0.0,57.0
Chihuahua,Small,Female,9.0,7.3,Neutered,Active,4.0,Yes,No,11.0,4.0,Very Active,2.0,46.0
Beagle,Small,Male,1.0,28.9,Neutered,Very Active,0.0,Yes,No,14.0,0.0,Very Active,1.0,71.0
Poodle,Small,Male,9.0,38.0,Spayed,Very Active,0.0,No,No,12.0,2.0,Active,2.0,70.0
Dachshund,Small,Female,8.0,8.6,Neutered,Moderate,2.0,No,No,12.0,0.0,Moderate,1.0,45.0
Dachshund,Small,Male,6.0,9.2,Spayed,Active,2.0,No,No,11.0,0.0,Low,2.0,51.0
Chihuahua,Small,Male,5.0,4.8,Spayed,Very Active,4.0,Yes,No,13.0,2.0,Very Active,3.0,64.0
Dachshund,Small,Male,5.0,14.5,Spayed,Active,3.0,Yes,No,11.0,0.0,Low,1.0,44.0
Chihuahua,Small,Female,5.0,2.3,Neutered,Active,2.0,No,No,11.0,1.0,Very Active,1.0,57.0
Dachshund,Small,Male,6.0,17.7,Spayed,Active,4.0,No,No,11.0,2.0,Very Active,2.0,39.0
Poodle,Small,Female,13.0,49.0,Spayed,Active,1.0,No,No,11.0,2.0,Very Active,1.0,85.0
Poodle,Small,Male,4.0,51.0,Neutered,Very Active,4.0,No,No,11.0,0.0,Very Active,1.0,73.0
Yorkshire Terrier,Small,Male,7.0,9.7,Spayed,Very Active,3.0,No,No,14.0,2.0,Active,0.0,55.0
Yorkshire Terrier,Small,Female,13.0,6.4,Neutered,Low,2.0,No,No,9.0,2.0,Moderate,1.0,45.0
Chihuahua,Small,Male,12.0,2.8,Neutered,Very Active,4.0,Yes,No,12.0,4.0,Moderate,0.0,76.0
Beagle,Small,Male,4.0,24.7,Spayed,Active,0.0,No,Yes,9.0,2.0,Very Active,1.0,68.0
Chihuahua,Small,Female,12.0,7.8,Spayed,Very Active,1.0,Yes,No,9.0,2.0,Very Active,1.0,41.0
Chihuahua,Small,Male,3.0,2.4,Spayed,Low,1.0,No,No,10.0,3.0,Moderate,1.0,78.0
Poodle,Small,Female,9.0,32.0,Neutered,Active,3.0,No,No,13.0,2.0,Low,0.0,60.0
Dachshund,Small,Female,5.0,12.8,Spayed,Low,2.0,No,No,9.0,1.0,Very Active,0.0,86.0
Beagle,Small,Male,10.0,30.4,Spayed,Active,2.0,No,No,14.0,1.0,Low,2.0,55.0
Yorkshire Terrier,Small,Male,9.0,7.2,Spayed,Very Active,2.0,No,No,11.0,1.0,Very Active,1.0,76.0
Chihuahua,Small,Female,3.0,7.3,Spayed,Active,0.0,Yes,No,12.0,2.0,Moderate,0.0,54.0
Beagle,Small,Female,6.0,29.7,Neutered,Active,3.0,Yes,No,10.0,2.0,Very Active,1.0,56.0
Beagle,Small,Male,10.0,29.0,Spayed,Active,2.0,No,No,10.0,2.0,Very Active,2.0,57.0
Poodle,Small,Male,11.0,57.0,Neutered,Very Active,2.0,Yes,No,11.0,4.0,Low,1.0,56.0
Chihuahua,Small,Male,10.0,2.5,Spayed,Active,1.0,No,No,13.0,0.0,Very Active,0.0,66.0
Beagle,Small,Male,13.0,28.7,Spayed,Active,2.0,Yes,No,12.0,0.0,Moderate,2.0,42.0
Australian Shepherd,Small,Female,4.0,44.8,Spayed,Active,4.0,No,No,13.0,1.0,Low,2.0,100.0
Beagle,Small,Female,4.0,24.4,Spayed,Moderate,4.0,No,No,10.0,1.0,Moderate,0.0,66.0
Dachshund,Small,Female,9.0,13.4,Spayed,Active,3.0,Yes,No,10.0,1.0,Active,1.0,76.0
Yorkshire Terrier,Small,Male,6.0,8.1,Spayed,Active,3.0,No,No,12.0,2.0,Moderate,1.0,34.0
Chihuahua,Small,Male,9.0,6.4,Neutered,Very Active,4.0,Yes,No,12.0,1.0,Low,2.0,69.0
Chihuahua,Small,Male,7.0,5.3,Neutered,Moderate,1.0,Yes,No,10.0,3.0,Very Active,0.0,100.0
Beagle,Small,Male,4.0,22.4,Spayed,Active,0.0,No,No,12.0,1.0,Very Active,1.0,54.0
Yorkshire Terrier,Small,Male,5.0,10.0,Spayed,Moderate,5.0,No,No,8.0,0.0,Very Active,2.0,87.0
Yorkshire Terrier,Small,Male,10.0,9.7,Spayed,Very Active,2.0,Yes,No,8.0,2.0,Very Active,3.0,55.0
Yorkshire Terrier,Small,Female,9.0,5.3,Spayed,Very Active,0.0,No,No,11.0,3.0,Low,2.0,80.0
Poodle,Small,Male,8.0,45.0,Neutered,Moderate,5.0,Yes,No,12.0,0.0,Low,1.0,67.0
Beagle,Small,Female,8.0,20.2,Neutered,Moderate,3.0,Yes,No,10.0,1.0,Active,0.0,47.0
Dachshund,Small,Male,5.0,10.7,Neutered,Active,3.0,Yes,No,11.0,2.0,Low,3.0,77.0
Poodle,Small,Female,2.0,28.0,Spayed,Active,3.0,No,No,8.0,1.0,Very Active,0.0,58.0
Beagle,Small,Male,3.0,27.5,Spayed,Active,2.0,Yes,No,10.0,1.0,Very Active,1.0,78.0
Yorkshire Terrier,Small,Female,2.0,5.0,Spayed,Very Active,2.0,No,No,10.0,3.0,Very Active,0.0,68.0
Chihuahua,Small,Female,10.0,2.9,Spayed,Very Active,4.0,No,No,12.0,3.0,Low,3.0,74.0
Dachshund,Small,Male,11.0,12.4,Neutered,Active,2.0,No,No,10.0,1.0,Low,1.0,66.0
Dachshund,Small,Female,6.0,16.6,Spayed,Low,5.0,Yes,No,10.0,3.0,Low,1.0,40.0
Beagle,Small,Male,7.0,28.4,Spayed,Active,1.0,Yes,No,10.0,2.0,Very Active,2.0,49.0
Beagle,Small,Male,7.0,26.2,Spayed,Very Active,3.0,No,No,11.0,1.0,Low,2.0,37.0
Yorkshire Terrier,Small,Male,7.0,5.3,Spayed,Active,3.0,Yes,No,8.0,1.0,Very Active,2.0,70.0
Dachshund,Small,Male,7.0,16.4,Neutered,Moderate,3.0,No,No,12.0,2.0,Very Active,0.0,98.0
Chihuahua,Small,Male,11.0,6.5,Spayed,Active,2.0,Yes,No,12.0,1.0,Moderate,2.0,100.0
Chihuahua,Small,Male,9.0,5.1,Spayed,Active,3.0,No,No,14.0,2.0,Very Active,0.0,79.0
Poodle,Small,Male,8.0,50.0,Neutered,Active,1.0,No,No,11.0,1.0,Low,1.0,51.0
Poodle,Small,Male,9.0,26.0,Spayed,Active,2.0,No,No,14.0,0.0,Very Active,4.0,61.0
Poodle,Small,Female,5.0,68.0,Spayed,Active,2.0,Yes,No,11.0,1.0,Active,2.0,71.0
Dachshund,Small,Male,6.0,15.7,Neutered,Active,3.0,No,No,11.0,2.0,Very Active,0.0,57.0
Yorkshire Terrier,Small,Female,12.0,9.6,Neutered,Moderate,3.0,Yes,No,13.0,0.0,Low,1.0,58.0
Dachshund,Small,Male,1.0,15.9,Neutered,Very Active,3.0,Yes,No,11.0,3.0,Low,1.0,58.0
Yorkshire Terrier,Small,Male,5.0,8.1,Spayed,Moderate,3.0,Yes,No,10.0,2.0,Low,2.0,43.0
Chihuahua,Small,Male,1.0,4.9,Neutered,Active,1.0,No,No,11.0,1.0,Very Active,2.0,73.0
Yorkshire Terrier,Small,Male,4.0,5.3,Spayed,Moderate,4.0,Yes,No,10.0,0.0,Very Active,0.0,63.0
Beagle,Small,Female,7.0,32.5,Spayed,Moderate,1.0,No,No,10.0,3.0,Very Active,0.0,66.0
Beagle,Small,Male,12.0,32.5,Spayed,Low,0.0,No,No,13.0,1.0,Moderate,4.0,84.0
Beagle,Small,Female,12.0,29.1,Spayed,Low,4.0,No,No,8.0,1.0,Very Active,3.0,59.0
Beagle,Small,Male,13.0,27.2,Neutered,Active,4.0,Yes,No,11.0,1.0,Low,3.0,62.0
Beagle,Small,Female,4.0,30.3,Spayed,Moderate,5.0,No,No,11.0,2.0,Very Active,1.0,48.0
Beagle,Small,Female,1.0,23.8,Neutered,Active,2.0,No,No,11.0,0.0,Very Active,2.0,64.0
Yorkshire Terrier,Small,Male,2.0,4.1,Neutered,Active,4.0,No,Yes,11.0,1.0,Very Active,1.0,63.0
Dachshund,Small,Female,6.0,16.4,Spayed,Low,1.0,Yes,No,10.0,1.0,Low,0.0,78.0
Chihuahua,Small,Male,11.0,7.9,Spayed,Low,3.0,Yes,No,10.0,2.0,Low,0.0,65.0
Poodle,Small,Male,10.0,37.0,Neutered,Moderate,3.0,No,No,12.0,2.0,Low,4.0,82.0
Dachshund,Small,Female,8.0,10.9,Spayed,Active,2.0,Yes,No,10.0,1.0,Active,3.0,53.0
Poodle,Small,Male,4.0,44.0,Spayed,Very Active,2.0,No,No,11.0,3.0,Moderate,2.0,66.0
Beagle,Small,Female,3.0,25.2,Spayed,Low,3.0,Yes,No,12.0,0.0,Very Active,1.0,42.0
Yorkshire Terrier,Small,Male,2.0,5.2,Spayed,Moderate,7.0,No,No,12.0,0.0,Active,2.0,66.0
Yorkshire Terrier,Small,Female,4.0,4.8,Spayed,Active,4.0,No,No,12.0,0.0,Very Active,1.0,42.0
Dachshund,Small,Female,6.0,14.1,Neutered,Moderate,5.0,No,No,13.0,2.0,Active,2.0,57.0
Dachshund,Small,Male,7.0,14.2,Spayed,Very Active,3.0,No,No,12.0,1.0,Low,0.0,71.0
Poodle,Small,Female,3.0,37.0,Neutered,Very Active,4.0,Yes,No,12.0,1.0,Very Active,2.0,45.0
Chihuahua,Small,Female,4.0,6.0,Spayed,Moderate,3.0,Yes,No,12.0,2.0,Low,1.0,70.0
Yorkshire Terrier,Small,Male,2.0,6.8,Spayed,Moderate,5.0,Yes,No,10.0,1.0,Low,1.0,75.0
Yorkshire Terrier,Small,Male,8.0,7.4,Neutered,Moderate,1.0,Yes,No,10.0,0.0,Active,4.0,90.0
Dachshund,Small,Female,4.0,13.6,Spayed,Active,2.0,No,No,13.0,2.0,Very Active,0.0,55.0
Chihuahua,Small,Female,2.0,2.4,Spayed,Active,3.0,Yes,No,10.0,3.0,Low,2.0,57.0
Poodle,Small,Female,5.0,63.0,Spayed,Low,2.0,Yes,No,11.0,2.0,Low,2.0,68.0
Dachshund,Small,Female,2.0,12.0,Spayed,Low,4.0,No,No,11.0,0.0,Low,3.0,59.0
Dachshund,Small,Female,4.0,18.7,Spayed,Active,3.0,No,No,12.0,4.0,Low,1.0,61.0
Dachshund,Small,Male,1.0,16.9,Spayed,Moderate,2.0,Yes,No,12.0,1.0,Very Active,2.0,56.0
Yorkshire Terrier,Small,Male,6.0,9.3,Neutered,Active,2.0,No,No,14.0,1.0,Very Active,0.0,56.0
Dachshund,Small,Female,13.0,13.2,Neutered,Active,6.0,Yes,No,13.0,2.0,Low,3.0,74.0
Dachshund,Small,Female,9.0,9.8,Spayed,Active,2.0,No,No,11.0,2.0,Low,2.0,68.0
Yorkshire Terrier,Small,Male,10.0,8.7,Neutered,Active,2.0,Yes,No,11.0,1.0,Very Active,1.0,47.0
Yorkshire Terrier,Small,Female,10.0,4.8,Spayed,Very Active,3.0,Yes,Yes,11.0,2.0,Very Active,0.0,68.0
Chihuahua,Small,Male,5.0,3.0,Neutered,Active,2.0,Yes,No,10.0,1.0,Active,2.0,51.0
Chihuahua,Small,Male,12.0,3.5,Neutered,Very Active,0.0,No,No,12.0,2.0,Moderate,4.0,63.0
Dachshund,Small,Male,3.0,16.9,Spayed,Active,3.0,No,No,13.0,3.0,Low,1.0,81.0
Yorkshire Terrier,Small,Male,2.0,6.0,Spayed,Low,2.0,No,No,13.0,2.0,Moderate,0.0,62.0
Yorkshire Terrier,Small,Female,5.0,6.0,Spayed,Active,2.0,Yes,Yes,11.0,2.0,Low,1.0,53.0
Chihuahua,Small,Male,12.0,4.0,Spayed,Very Active,3.0,Yes,No,8.0,2.0,Active,0.0,54.0
Beagle,Small,Male,1.0,31.0,Spayed,Active,5.0,Yes,No,10.0,2.0,Very Active,2.0,76.0
Beagle,Small,Male,3.0,23.3,Spayed,Active,2.0,Yes,No,13.0,1.0,Very Active,2.0,71.0
Poodle,Small,Female,5.0,59.0,Neutered,Very Active,2.0,No,No,11.0,1.0,Very Active,1.0,44.0
Yorkshire Terrier,Small,Female,7.0,9.9,Spayed,Moderate,2.0,Yes,No,11.0,1.0,Very Active,1.0,66.0
Chihuahua,Small,Female,10.0,6.6,Neutered,Low,1.0,Yes,No,13.0,2.0,Low,1.0,47.0
Beagle,Small,Female,1.0,20.6,Neutered,Moderate,3.0,Yes,No,10.0,0.0,Active,1.0,58.0
Poodle,Small,Male,6.0,16.0,Spayed,Active,4.0,Yes,No,9.0,2.0,Very Active,4.0,72.0
Poodle,Small,Male,9.0,51.0,Spayed,Active,4.0,No,No,12.0,2.0,Active,2.0,73.0
Chihuahua,Small,Male,13.0,7.9,Spayed,Moderate,3.0,No,No,11.0,0.0,Very Active,1.0,80.0
Chihuahua,Small,Female,8.0,3.1,Spayed,Active,2.0,No,No,12.0,1.0,Very Active,0.0,59.0
Beagle,Small,Male,2.0,26.4,Spayed,Active,3.0,No,No,11.0,1.0,Moderate,3.0,48.0
Beagle,Small,Female,13.0,33.7,Spayed,Active,3.0,No,No,10.0,1.0,Very Active,2.0,78.0
Chihuahua,Small,Female,13.0,6.9,Spayed,Active,2.0,Yes,No,13.0,1.0,Low,2.0,64.0
Dachshund,Small,Male,10.0,10.8,Neutered,Moderate,0.0,No,No,11.0,2.0,Very Active,2.0,65.0
Beagle,Small,Female,12.0,29.3,Spayed,Very Active,4.0,Yes,No,12.0,0.0,Very Active,1.0,71.0
Dachshund,Small,Male,7.0,16.6,Neutered,Very Active,1.0,No,No,12.0,3.0,Very Active,1.0,45.0
Beagle,Small,Female,8.0,32.3,Neutered,Active,2.0,No,No,10.0,0.0,Moderate,4.0,52.0
Dachshund,Small,Male,6.0,10.2,Neutered,Active,3.0,Yes,No,12.0,1.0,Very Active,3.0,44.0
Poodle,Small,Female,2.0,43.0,Spayed,Very Active,2.0,Yes,No,8.0,2.0,Active,0.0,73.0
Dachshund,Small,Female,12.0,17.3,Spayed,Very Active,0.0,No,No,10.0,1.0,Very Active,3.0,52.0
Dachshund,Small,Female,4.0,18.9,Spayed,Active,2.0,Yes,No,10.0,0.0,Low,2.0,81.0
Dachshund,Small,Female,7.0,8.5,Neutered,Very Active,1.0,Yes,No,9.0,1.0,Very Active,2.0,74.0
Beagle,Small,Female,10.0,27.4,Spayed,Active,4.0,Yes,No,11.0,0.0,Active,3.0,68.0
Yorkshire Terrier,Small,Male,9.0,8.0,Neutered,Moderate,6.0,No,No,11.0,2.0,Active,1.0,84.0
Beagle,Small,Female,8.0,30.5,Spayed,Very Active,2.0,Yes,No,11.0,1.0,Moderate,0.0,59.0
Chihuahua,Small,Male,6.0,2.6,Spayed,Active,7.0,Yes,Yes,10.0,2.0,Moderate,1.0,75.0
Beagle,Small,Male,11.0,32.8,Spayed,Very Active,1.0,Yes,No,13.0,0.0,Very Active,0.0,49.0
Chihuahua,Small,Female,6.0,4.3,Spayed,Active,3.0,No,No,10.0,2.0,Low,0.0,66.0
Chihuahua,Small,Male,11.0,2.9,Spayed,Very Active,2.0,No,No,11.0,0.0,Moderate,1.0,65.0
Poodle,Small,Female,1.0,41.0,Spayed,Very Active,4.0,No,No,12.0,2.0,Low,2.0,53.0
Chihuahua,Small,Female,1.0,6.9,Spayed,Moderate,2.0,Yes,No,11.0,3.0,Moderate,1.0,54.0
Dachshund,Small,Male,5.0,17.0,Spayed,Very Active,3.0,No,No,13.0,1.0,Active,0.0,81.0
Dachshund,Small,Male,10.0,17.0,Spayed,Active,4.0,Yes,No,12.0,0.0,Active,3.0,58.0
Yorkshire Terrier,Small,Male,10.0,5.8,Neutered,Low,3.0,No,No,11.0,1.0,Low,2.0,75.0
Dachshund,Small,Female,8.0,17.4,Spayed,Very Active,5.0,Yes,No,12.0,2.0,Active,3.0,66.0
Dachshund,Small,Male,3.0,15.0,Spayed,Active,4.0,No,No,10.0,0.0,Very Active,1.0,52.0
Yorkshire Terrier,Small,Male,5.0,8.5,Spayed,Moderate,3.0,No,No,12.0,1.0,Very Active,3.0,93.0
Beagle,Small,Male,3.0,26.7,Spayed,Low,4.0,No,No,11.0,2.0,Low,3.0,67.0
Beagle,Small,Female,7.0,29.2,Spayed,Active,4.0,Yes,No,9.0,1.0,Active,1.0,57.0
Poodle,Small,Female,8.0,49.0,Spayed,Very Active,2.0,No,No,13.0,2.0,Active,1.0,68.0
Beagle,Small,Male,6.0,32.9,Neutered,Moderate,1.0,No,No,9.0,2.0,Very Active,2.0,88.0
Beagle,Small,Male,8.0,33.0,Spayed,Low,2.0,No,No,11.0,2.0,Moderate,2.0,60.0
Poodle,Small,Male,4.0,51.0,Neutered,Active,3.0,Yes,No,8.0,3.0,Very Active,4.0,81.0
Chihuahua,Small,Female,5.0,5.6,Spayed,Moderate,0.0,No,Yes,11.0,2.0,Very Active,3.0,84.0
Beagle,Small,Male,9.0,29.6,Spayed,Active,2.0,Yes,No,10.0,2.0,Active,3.0,85.0
Poodle,Small,Male,9.0,45.0,Spayed,Very Active,3.0,Yes,No,11.0,2.0,Very Active,2.0,69.0
Beagle,Small,Female,6.0,29.7,Neutered,Moderate,1.0,No,No,11.0,2.0,Low,1.0,53.0
Australian Shepherd,Small,Female,10.0,56.0,Spayed,Low,3.0,No,Yes,13.0,2.0,Very Active,1.0,71.0
Poodle,Small,Male,10.0,39.0,Spayed,Moderate,2.0,Yes,No,10.0,2.0,Moderate,1.0,81.0
Yorkshire Terrier,Small,Male,7.0,7.0,Spayed,Very Active,3.0,Yes,No,10.0,4.0,Moderate,1.0,84.0
Poodle,Small,Female,7.0,36.0,Neutered,Very Active,4.0,Yes,No,13.0,3.0,Very Active,2.0,91.0
Australian Shepherd,Small,Female,7.0,44.0,Spayed,Active,4.0,No,No,9.0,2.0,Moderate,2.0,64.0
Chihuahua,Small,Female,9.0,3.8,Neutered,Active,4.0,No,No,11.0,2.0,Very Active,1.0,64.0
Chihuahua,Small,Female,4.0,7.1,Spayed,Low,5.0,Yes,No,11.0,2.0,Active,2.0,52.0
Poodle,Small,Female,4.0,29.0,Neutered,Moderate,2.0,No,No,13.0,3.0,Very Active,1.0,74.0
Beagle,Small,Male,9.0,23.0,Neutered,Active,6.0,No,No,12.0,3.0,Active,1.0,74.0
Chihuahua,Small,Female,8.0,7.0,Spayed,Moderate,0.0,No,No,9.0,1.0,Low,1.0,52.0
Yorkshire Terrier,Small,Female,12.0,4.9,Spayed,Active,2.0,Yes,No,14.0,0.0,Moderate,2.0,65.0
Chihuahua,Small,Female,9.0,2.1,Spayed,Very Active,0.0,No,No,12.0,2.0,Moderate,1.0,66.0
Poodle,Small,Female,10.0,50.0,Spayed,Active,5.0,No,No,9.0,2.0,Active,4.0,65.0
Yorkshire Terrier,Small,Female,5.0,6.2,Spayed,Low,3.0,Yes,No,11.0,1.0,Very Active,2.0,35.0
Poodle,Small,Male,5.0,63.0,Spayed,Active,2.0,No,No,10.0,2.0,Active,1.0,58.0
Poodle,Small,Male,10.0,47.0,Neutered,Low,3.0,No,No,11.0,0.0,Very Active,2.0,45.0
Yorkshire Terrier,Small,Female,12.0,4.9,Neutered,Active,2.0,Yes,No,14.0,3.0,Low,2.0,34.0
Chihuahua,Small,Female,6.0,5.3,Spayed,Active,1.0,No,No,12.0,0.0,Active,3.0,58.0
Yorkshire Terrier,Small,Male,4.0,8.0,Neutered,Active,1.0,Yes,No,13.0,2.0,Very Active,3.0,58.0
Chihuahua,Small,Female,8.0,7.2,Spayed,Very Active,0.0,Yes,No,14.0,1.0,Very Active,2.0,69.0
Poodle,Small,Female,7.0,33.0,Spayed,Active,1.0,Yes,No,12.0,2.0,Low,1.0,57.0
Yorkshire Terrier,Small,Female,1.0,5.0,Spayed,Active,1.0,No,No,11.0,0.0,Moderate,1.0,56.0
Chihuahua,Small,Male,6.0,5.2,Neutered,Low,3.0,No,No,13.0,2.0,Very Active,3.0,73.0
Chihuahua,Small,Female,5.0,5.3,Spayed,Very Active,3.0,Yes,No,13.0,0.0,Very Active,2.0,95.0
