Raca,Idade,peso_kg,porte_animal,Status_Saude,calorias_diarias_RER
Chihuahua,4.0,22.68,Médio,Sim,727.5
Bulldog,8.0,30.84,Grande,Sim,916.08
Poodle,3.0,26.76,Grande,Sim,823.59
Labrador Retriever,6.0,26.31,Grande,Sim,813.18
Boxer,11.0,18.6,Médio,Sim,626.95
Labrador Retriever,12.0,14.97,Médio,Não,532.74
Golden Retriever,13.0,21.77,Médio,Sim,705.49
Great Dane,8.0,25.85,Grande,Sim,802.5
Beagle,10.0,34.47,Grande,Não,995.82
Boxer,3.0,21.32,Médio,Sim,694.53
Rottweiler,1.0,37.65,Grande,Não,1063.95
Great Dane,13.0,24.04,Médio,Sim,759.97
Australian Shepherd,3.0,22.68,Médio,Sim,727.5
Bulldog,9.0,19.96,Médio,Sim,661.03
German Shepherd,6.0,29.03,Grande,Sim,875.45
Golden Retriever,11.0,23.13,Médio,Sim,738.29
Doberman,5.0,22.68,Médio,Sim,727.5
Labrador Retriever,5.0,16.33,Médio,Não,568.64
Beagle,9.0,17.24,Médio,Sim,592.24
Great Dane,7.0,22.68,Médio,Sim,727.5
Australian Shepherd,9.0,25.4,Grande,Sim,792.0
Boxer,11.0,21.32,Médio,Sim,694.53
Boxer,6.0,23.13,Médio,Sim,738.29
Doberman,7.0,20.41,Médio,Sim,672.17
Poodle,12.0,22.68,Médio,Sim,727.5
Bulldog,12.0,10.43,Médio,Não,406.27
Yorkshire Terrier,3.0,12.7,Médio,Sim,470.92
Doberman,6.0,28.58,Grande,Sim,865.26
Doberman,10.0,16.33,Médio,Sim,568.64
Chihuahua,5.0,14.51,Médio,Sim,520.41
Dachshund,8.0,13.61,Médio,Sim,496.01
German Shepherd,13.0,33.11,Grande,Não,966.2
Boxer,6.0,19.96,Médio,Sim,661.03
Chihuahua,5.0,26.76,Grande,Sim,823.59
SRD (Sem Raça Definida),7.0,24.95,Médio,Sim,781.45
Australian Shepherd,11.0,26.31,Grande,Sim,813.18
Siberian Husky,9.0,25.4,Grande,Não,792.0
Bulldog,13.0,37.65,Grande,Sim,1063.95
Bulldog,9.0,18.14,Médio,Sim,615.28
Chihuahua,7.0,29.48,Grande,Sim,885.61
Rottweiler,2.0,21.32,Médio,Sim,694.53
Bulldog,11.0,19.5,Médio,Sim,649.57
Golden Retriever,4.0,28.12,Grande,Não,854.79
Beagle,6.0,20.41,Médio,Sim,672.17
German Shepherd,9.0,22.68,Médio,Sim,727.5
Dachshund,6.0,27.67,Grande,Sim,844.51
Chihuahua,13.0,14.51,Médio,Sim,520.41
German Shepherd,10.0,16.78,Médio,Sim,580.35
Doberman,6.0,14.06,Médio,Sim,508.26
Beagle,3.0,30.84,Grande,Sim,916.08
Siberian Husky,11.0,30.39,Grande,Sim,906.04
Yorkshire Terrier,9.0,24.95,Médio,Sim,781.45
Bulldog,9.0,19.05,Médio,Não,638.29
Australian Shepherd,3.0,21.32,Médio,Sim,694.53
Poodle,12.0,29.48,Grande,Não,885.61
Great Dane,9.0,36.29,Grande,Sim,1035.0
Beagle,11.0,34.93,Grande,Não,1005.77
Golden Retriever,11.0,30.84,Grande,Não,916.08
Boxer,9.0,23.13,Médio,Sim,738.29
SRD (Sem Raça Definida),13.0,12.7,Médio,Não,470.92
Golden Retriever,12.0,21.77,Médio,Sim,705.49
Yorkshire Terrier,4.0,21.77,Médio,Não,705.49
German Shepherd,3.0,19.5,Médio,Não,649.57
Dachshund,5.0,22.68,Médio,Sim,727.5
Rottweiler,7.0,24.04,Médio,Sim,759.97
SRD (Sem Raça Definida),1.0,22.23,Médio,Sim,716.64
Doberman,10.0,22.68,Médio,Não,727.5
Doberman,11.0,20.41,Médio,Sim,672.17
Boxer,4.0,10.89,Médio,Sim,419.63
SRD (Sem Raça Definida),6.0,32.66,Grande,Não,956.34
Rottweiler,11.0,23.13,Médio,Sim,738.29
Golden Retriever,2.0,32.66,Grande,Sim,956.34
Beagle,13.0,19.96,Médio,Sim,661.03
Great Dane,9.0,28.58,Grande,Sim,865.26
Bulldog,8.0,9.98,Pequeno,Sim,393.05
Rottweiler,7.0,28.12,Grande,Sim,854.79
Rottweiler,8.0,22.68,Médio,Sim,727.5
Doberman,7.0,22.68,Médio,Sim,727.5
German Shepherd,7.0,30.39,Grande,Sim,906.04
German Shepherd,8.0,15.42,Médio,Sim,544.7
Yorkshire Terrier,3.0,15.88,Médio,Sim,556.85
Poodle,2.0,31.3,Grande,Sim,926.31
Boxer,10.0,23.13,Médio,Sim,738.29
Chihuahua,1.0,20.87,Médio,Sim,683.5
Golden Retriever,7.0,27.67,Grande,Não,844.51
Chihuahua,6.0,19.96,Médio,Sim,661.03
SRD (Sem Raça Definida),13.0,20.87,Médio,Não,683.5
German Shepherd,7.0,24.49,Médio,Sim,770.62
Beagle,7.0,27.67,Grande,Sim,844.51
Dachshund,7.0,22.23,Médio,Sim,716.64
Doberman,6.0,29.94,Grande,Sim,895.96
Chihuahua,5.0,25.4,Grande,Sim,792.0
Bulldog,9.0,23.13,Médio,Sim,738.29
Dachshund,4.0,22.23,Médio,Sim,716.64
Australian Shepherd,13.0,34.02,Grande,Sim,986.05
Rottweiler,12.0,24.49,Médio,Sim,770.62
German Shepherd,2.0,12.7,Médio,Sim,470.92
Doberman,1.0,19.5,Médio,Sim,649.57
Poodle,8.0,34.93,Grande,Sim,1005.77
Beagle,10.0,13.61,Médio,Não,496.01
Poodle,11.0,27.22,Grande,Sim,834.19
Labrador Retriever,9.0,18.6,Médio,Sim,626.95
Doberman,4.0,27.22,Grande,Sim,834.19
Great Dane,8.0,22.23,Médio,Sim,716.64
Boxer,10.0,23.59,Médio,Não,749.28
Beagle,2.0,22.68,Médio,Sim,727.5
Doberman,2.0,17.24,Médio,Sim,592.24
Beagle,1.0,15.42,Médio,Não,544.7
Labrador Retriever,3.0,8.16,Pequeno,Sim,337.96
Labrador Retriever,3.0,22.68,Médio,Sim,727.5
Australian Shepherd,6.0,25.4,Grande,Sim,792.0
Labrador Retriever,11.0,23.13,Médio,Sim,738.29
Rottweiler,13.0,19.5,Médio,Sim,649.57
Beagle,10.0,15.42,Médio,Sim,544.7
Beagle,11.0,13.61,Médio,Sim,496.01
SRD (Sem Raça Definida),12.0,28.58,Grande,Não,865.26
Golden Retriever,1.0,23.13,Médio,Sim,738.29
Yorkshire Terrier,12.0,26.76,Grande,Sim,823.59
Australian Shepherd,5.0,29.48,Grande,Sim,885.61
Poodle,6.0,19.96,Médio,Sim,661.03
Doberman,2.0,27.67,Grande,Sim,844.51
Dachshund,7.0,28.12,Grande,Não,854.79
Yorkshire Terrier,2.0,24.49,Médio,Sim,770.62
Poodle,12.0,24.95,Médio,Não,781.45
Golden Retriever,7.0,18.14,Médio,Não,615.28
Poodle,3.0,7.71,Pequeno,Sim,323.88
Yorkshire Terrier,11.0,15.88,Médio,Não,556.85
Great Dane,9.0,21.77,Médio,Sim,705.49
Poodle,9.0,23.13,Médio,Sim,738.29
Poodle,2.0,20.87,Médio,Sim,683.5
Golden Retriever,9.0,20.87,Médio,Não,683.5
Great Dane,7.0,29.03,Grande,Não,875.45
Dachshund,13.0,22.23,Médio,Sim,716.64
Labrador Retriever,7.0,12.7,Médio,Sim,470.92
Great Dane,11.0,31.3,Grande,Sim,926.31
Rottweiler,1.0,24.04,Médio,Sim,759.97
Siberian Husky,13.0,28.12,Grande,Sim,854.79
Yorkshire Terrier,4.0,15.88,Médio,Sim,556.85
Rottweiler,11.0,34.93,Grande,Não,1005.77
Dachshund,4.0,19.5,Médio,Sim,649.57
Labrador Retriever,9.0,21.77,Médio,Sim,705.49
Yorkshire Terrier,12.0,16.78,Médio,Não,580.35
Doberman,2.0,29.48,Grande,Sim,885.61
Beagle,7.0,24.04,Médio,Sim,759.97
Chihuahua,9.0,20.87,Médio,Sim,683.5
Great Dane,12.0,28.58,Grande,Sim,865.26
Siberian Husky,8.0,15.88,Médio,Sim,556.85
Australian Shepherd,10.0,19.05,Médio,Sim,638.29
Bulldog,2.0,35.38,Grande,Sim,1015.47
Yorkshire Terrier,5.0,23.13,Médio,Sim,738.29
Bulldog,3.0,22.68,Médio,Não,727.5
Labrador Retriever,8.0,22.68,Médio,Sim,727.5
Australian Shepherd,2.0,16.33,Médio,Sim,568.64
Bulldog,10.0,24.04,Médio,Sim,759.97
Doberman,12.0,20.87,Médio,Sim,683.5
Golden Retriever,5.0,17.69,Médio,Sim,603.8
Doberman,4.0,24.95,Médio,Sim,781.45
Golden Retriever,5.0,13.15,Médio,Sim,483.38
Siberian Husky,11.0,21.77,Médio,Não,705.49
Labrador Retriever,4.0,12.7,Médio,Não,470.92
Great Dane,10.0,29.03,Grande,Sim,875.45
Chihuahua,11.0,30.39,Grande,Sim,906.04
Doberman,6.0,23.13,Médio,Não,738.29
Rottweiler,7.0,35.38,Grande,Sim,1015.47
Dachshund,6.0,24.95,Médio,Sim,781.45
SRD (Sem Raça Definida),13.0,19.5,Médio,Sim,649.57
Dachshund,6.0,26.31,Grande,Sim,813.18
Boxer,9.0,25.85,Grande,Sim,802.5
Labrador Retriever,5.0,19.5,Médio,Não,649.57
Australian Shepherd,1.0,13.61,Médio,Sim,496.01
Boxer,5.0,22.68,Médio,Sim,727.5
Doberman,10.0,34.93,Grande,Não,1005.77
Yorkshire Terrier,12.0,20.87,Médio,Não,683.5
Beagle,7.0,14.51,Médio,Sim,520.41
Poodle,4.0,24.95,Médio,Sim,781.45
Doberman,10.0,13.15,Médio,Sim,483.38
Australian Shepherd,7.0,17.69,Médio,Sim,603.8
Boxer,2.0,29.03,Grande,Sim,875.45
Great Dane,4.0,23.59,Médio,Sim,749.28
Poodle,6.0,30.39,Grande,Sim,906.04
Beagle,2.0,17.24,Médio,Sim,592.24
Poodle,1.0,15.88,Médio,Não,556.85
Golden Retriever,6.0,28.58,Grande,Não,865.26
Poodle,11.0,35.38,Grande,Sim,1015.47
Rottweiler,6.0,22.68,Médio,Não,727.5
Siberian Husky,3.0,15.88,Médio,Sim,556.85
German Shepherd,9.0,22.23,Médio,Sim,716.64
Beagle,3.0,29.03,Grande,Sim,875.45
Yorkshire Terrier,5.0,25.4,Grande,Sim,792.0
Chihuahua,7.0,16.78,Médio,Sim,580.35
German Shepherd,9.0,29.94,Grande,Sim,895.96
Bulldog,5.0,19.96,Médio,Sim,661.03
Doberman,1.0,28.58,Grande,Não,865.26
Rottweiler,13.0,37.65,Grande,Não,1063.95
Poodle,11.0,25.4,Grande,Sim,792.0
Chihuahua,1.0,18.14,Médio,Não,615.28
Golden Retriever,12.0,26.76,Grande,Sim,823.59
Labrador Retriever,3.0,24.04,Médio,Sim,759.97
Chihuahua,2.0,25.85,Grande,Sim,802.5
Dachshund,7.0,21.32,Médio,Não,694.53
Poodle,1.0,34.47,Grande,Não,995.82
German Shepherd,9.0,26.76,Grande,Sim,823.59
Australian Shepherd,13.0,36.29,Grande,Não,1035.0
Poodle,11.0,34.02,Grande,Não,986.05
Dachshund,13.0,25.85,Grande,Sim,802.5
Dachshund,8.0,19.5,Médio,Sim,649.57
Dachshund,12.0,22.68,Médio,Não,727.5
Labrador Retriever,4.0,25.4,Grande,Não,792.0
Poodle,11.0,13.61,Médio,Sim,496.01
Bulldog,9.0,27.67,Grande,Sim,844.51
Labrador Retriever,3.0,21.32,Médio,Sim,694.53
Yorkshire Terrier,8.0,19.05,Médio,Sim,638.29
SRD (Sem Raça Definida),6.0,19.5,Médio,Sim,649.57
Poodle,1.0,20.41,Médio,Não,672.17
Golden Retriever,12.0,25.85,Grande,Sim,802.5
Great Dane,3.0,18.14,Médio,Sim,615.28
Dachshund,8.0,21.77,Médio,Sim,705.49
Chihuahua,6.0,35.38,Grande,Sim,1015.47
Labrador Retriever,5.0,24.04,Médio,Não,759.97
Beagle,11.0,13.61,Médio,Não,496.01
Golden Retriever,6.0,19.96,Médio,Sim,661.03
Great Dane,12.0,33.57,Grande,Sim,976.25
Labrador Retriever,1.0,19.05,Médio,Sim,638.29
Australian Shepherd,9.0,9.98,Pequeno,Não,393.05
Poodle,8.0,14.97,Médio,Sim,532.74
Labrador Retriever,8.0,15.88,Médio,Sim,556.85
Poodle,13.0,24.04,Médio,Sim,759.97
Golden Retriever,6.0,16.78,Médio,Sim,580.35
Australian Shepherd,6.0,18.14,Médio,Sim,615.28
Beagle,10.0,15.88,Médio,Sim,556.85
Poodle,4.0,22.68,Médio,Sim,727.5
Australian Shepherd,13.0,19.96,Médio,Não,661.03
Great Dane,5.0,19.05,Médio,Não,638.29
Dachshund,6.0,22.68,Médio,Sim,727.5
Rottweiler,3.0,25.85,Grande,Sim,802.5
Dachshund,5.0,23.13,Médio,Sim,738.29
Boxer,8.0,25.4,Grande,Sim,792.0
Dachshund,1.0,14.97,Médio,Não,532.74
Siberian Husky,11.0,35.38,Grande,Não,1015.47
Great Dane,9.0,32.66,Grande,Não,956.34
Rottweiler,5.0,28.58,Grande,Sim,865.26
German Shepherd,10.0,24.04,Médio,Sim,759.97
Great Dane,1.0,17.69,Médio,Sim,603.8
Beagle,1.0,31.3,Grande,Sim,926.31
SRD (Sem Raça Definida),1.0,28.12,Grande,Não,854.79
Great Dane,3.0,38.56,Grande,Sim,1083.18
Golden Retriever,7.0,24.04,Médio,Sim,759.97
Labrador Retriever,10.0,17.24,Médio,Não,592.24
Dachshund,6.0,20.41,Médio,Sim,672.17
German Shepherd,1.0,35.38,Grande,Não,1015.47
German Shepherd,11.0,19.96,Médio,Sim,661.03
Beagle,13.0,26.31,Grande,Não,813.18
Doberman,1.0,21.32,Médio,Sim,694.53
Golden Retriever,6.0,8.62,Pequeno,Não,352.15
Doberman,9.0,21.77,Médio,Não,705.49
Doberman,10.0,26.76,Grande,Sim,823.59
Chihuahua,13.0,28.58,Grande,Sim,865.26
Siberian Husky,11.0,19.5,Médio,Não,649.57
Chihuahua,3.0,24.95,Médio,Sim,781.45
Great Dane,7.0,28.12,Grande,Sim,854.79
Bulldog,7.0,11.34,Médio,Sim,432.57
Australian Shepherd,10.0,25.85,Grande,Sim,802.5
Doberman,8.0,23.13,Médio,Sim,738.29
Boxer,5.0,14.06,Médio,Sim,508.26
Bulldog,11.0,23.59,Médio,Sim,749.28
Siberian Husky,9.0,20.87,Médio,Sim,683.5
Dachshund,13.0,29.48,Grande,Sim,885.61
German Shepherd,1.0,30.39,Grande,Sim,906.04
Beagle,8.0,15.88,Médio,Sim,556.85
German Shepherd,8.0,16.78,Médio,Sim,580.35
Rottweiler,7.0,33.11,Grande,Sim,966.2
Bulldog,6.0,19.96,Médio,Não,661.03
Labrador Retriever,2.0,32.21,Grande,Sim,946.44
Chihuahua,7.0,22.23,Médio,Sim,716.64
Dachshund,5.0,6.8,Pequeno,Sim,294.77
Australian Shepherd,11.0,27.22,Grande,Não,834.19
Siberian Husky,7.0,24.95,Médio,Sim,781.45
Australian Shepherd,8.0,16.78,Médio,Não,580.35
Poodle,5.0,24.95,Médio,Sim,781.45
Australian Shepherd,11.0,24.95,Médio,Não,781.45
Golden Retriever,5.0,32.21,Grande,Sim,946.44
Great Dane,3.0,11.79,Médio,Sim,445.38
Rottweiler,5.0,16.33,Médio,Sim,568.64
Australian Shepherd,3.0,22.68,Médio,Não,727.5
Beagle,2.0,20.87,Médio,Sim,683.5
German Shepherd,13.0,23.13,Médio,Não,738.29
Yorkshire Terrier,5.0,24.95,Médio,Sim,781.45
Bulldog,9.0,19.05,Médio,Não,638.29
Labrador Retriever,10.0,24.95,Médio,Não,781.45
Great Dane,7.0,19.05,Médio,Sim,638.29
Doberman,10.0,23.13,Médio,Não,738.29
Bulldog,3.0,29.94,Grande,Sim,895.96
Boxer,10.0,29.94,Grande,Não,895.96
Beagle,10.0,24.04,Médio,Sim,759.97
Siberian Husky,8.0,16.78,Médio,Sim,580.35
Australian Shepherd,3.0,24.95,Médio,Sim,781.45
Beagle,12.0,26.76,Grande,Não,823.59
Boxer,3.0,16.78,Médio,Sim,580.35
Australian Shepherd,1.0,9.98,Pequeno,Não,393.05
Beagle,5.0,15.88,Médio,Sim,556.85
Golden Retriever,5.0,23.13,Médio,Sim,738.29
Boxer,13.0,32.21,Grande,Não,946.44
Labrador Retriever,7.0,11.34,Médio,Sim,432.57
Chihuahua,6.0,15.42,Médio,Não,544.7
German Shepherd,7.0,22.23,Médio,Não,716.64
Labrador Retriever,1.0,26.76,Grande,Sim,823.59
Poodle,12.0,19.5,Médio,Sim,649.57
German Shepherd,2.0,26.31,Grande,Sim,813.18
Rottweiler,7.0,25.85,Grande,Sim,802.5
Poodle,9.0,23.13,Médio,Sim,738.29
Golden Retriever,5.0,25.85,Grande,Sim,802.5
Great Dane,7.0,33.57,Grande,Sim,976.25
Boxer,8.0,10.89,Médio,Sim,419.63
Doberman,1.0,25.85,Grande,Não,802.5
Dachshund,10.0,34.93,Grande,Sim,1005.77
Boxer,5.0,21.32,Médio,Sim,694.53
Labrador Retriever,11.0,17.24,Médio,Sim,592.24
Doberman,9.0,34.47,Grande,Sim,995.82
Beagle,7.0,12.25,Médio,Não,458.35
Australian Shepherd,6.0,24.04,Médio,Sim,759.97
Rottweiler,12.0,12.25,Médio,Sim,458.35
Poodle,6.0,23.13,Médio,Sim,738.29
Doberman,11.0,17.24,Médio,Sim,592.24
Doberman,6.0,32.66,Grande,Sim,956.34
Dachshund,1.0,27.22,Grande,Não,834.19
Siberian Husky,1.0,21.77,Médio,Sim,705.49
German Shepherd,2.0,35.38,Grande,Sim,1015.47
Labrador Retriever,7.0,14.06,Médio,Sim,508.26
Bulldog,1.0,22.68,Médio,Sim,727.5
Chihuahua,2.0,30.84,Grande,Sim,916.08
Labrador Retriever,4.0,14.97,Médio,Sim,532.74
German Shepherd,4.0,24.04,Médio,Sim,759.97
Doberman,3.0,25.4,Grande,Sim,792.0
SRD (Sem Raça Definida),8.0,26.76,Grande,Sim,823.59
Australian Shepherd,5.0,21.32,Médio,Sim,694.53
Chihuahua,13.0,18.14,Médio,Sim,615.28
Siberian Husky,4.0,31.3,Grande,Sim,926.31
Boxer,2.0,25.4,Grande,Sim,792.0
Poodle,2.0,25.4,Grande,Sim,792.0
SRD (Sem Raça Definida),7.0,15.88,Médio,Não,556.85
Chihuahua,12.0,19.5,Médio,Sim,649.57
Yorkshire Terrier,11.0,28.12,Grande,Sim,854.79
SRD (Sem Raça Definida),4.0,17.24,Médio,Sim,592.24
Rottweiler,6.0,31.3,Grande,Sim,926.31
SRD (Sem Raça Definida),10.0,18.6,Médio,Não,626.95
Labrador Retriever,7.0,32.21,Grande,Sim,946.44
Doberman,5.0,20.87,Médio,Sim,683.5
Bulldog,7.0,23.13,Médio,Sim,738.29
Australian Shepherd,2.0,29.03,Grande,Não,875.45
Poodle,8.0,14.51,Médio,Sim,520.41
Great Dane,6.0,31.3,Grande,Sim,926.31
Great Dane,2.0,22.68,Médio,Sim,727.5
Yorkshire Terrier,11.0,29.94,Grande,Não,895.96
Poodle,7.0,25.85,Grande,Sim,802.5
Dachshund,5.0,17.69,Médio,Sim,603.8
Bulldog,5.0,23.13,Médio,Sim,738.29
Poodle,3.0,13.15,Médio,Sim,483.38
Chihuahua,2.0,16.78,Médio,Sim,580.35
Australian Shepherd,2.0,21.32,Médio,Sim,694.53
Bulldog,11.0,14.97,Médio,Sim,532.74
Boxer,12.0,22.68,Médio,Não,727.5
German Shepherd,1.0,35.38,Grande,Sim,1015.47
Rottweiler,1.0,15.88,Médio,Sim,556.85
German Shepherd,9.0,23.13,Médio,Não,738.29
Australian Shepherd,7.0,24.04,Médio,Sim,759.97
Poodle,2.0,18.6,Médio,Sim,626.95
Rottweiler,1.0,24.95,Médio,Sim,781.45
Rottweiler,8.0,20.41,Médio,Sim,672.17
Golden Retriever,11.0,11.34,Médio,Não,432.57
Australian Shepherd,8.0,19.5,Médio,Não,649.57
Yorkshire Terrier,7.0,4.54,Pequeno,Sim,217.72
Beagle,12.0,18.14,Médio,Não,615.28
Australian Shepherd,5.0,18.6,Médio,Sim,626.95
Chihuahua,10.0,19.05,Médio,Sim,638.29
Yorkshire Terrier,8.0,20.41,Médio,Sim,672.17
Doberman,1.0,29.48,Grande,Sim,885.61
Chihuahua,12.0,29.94,Grande,Sim,895.96
Golden Retriever,13.0,26.31,Grande,Sim,813.18
Great Dane,2.0,21.32,Médio,Sim,694.53
Bulldog,3.0,16.33,Médio,Sim,568.64
Boxer,1.0,30.39,Grande,Sim,906.04
Doberman,13.0,21.32,Médio,Sim,694.53
Golden Retriever,6.0,26.76,Grande,Sim,823.59
Great Dane,6.0,29.94,Grande,Sim,895.96
Chihuahua,7.0,33.57,Grande,Sim,976.25
Golden Retriever,7.0,34.93,Grande,Não,1005.77
German Shepherd,3.0,8.16,Pequeno,Não,337.96
German Shepherd,2.0,16.78,Médio,Sim,580.35
Labrador Retriever,11.0,21.32,Médio,Sim,694.53
Rottweiler,1.0,22.68,Médio,Sim,727.5
Boxer,5.0,34.02,Grande,Sim,986.05
Rottweiler,4.0,19.05,Médio,Sim,638.29
Great Dane,9.0,19.05,Médio,Sim,638.29
Poodle,8.0,31.3,Grande,Sim,926.31
SRD (Sem Raça Definida),7.0,28.12,Grande,Sim,854.79
Labrador Retriever,8.0,27.22,Grande,Sim,834.19
Labrador Retriever,9.0,27.22,Grande,Sim,834.19
Doberman,7.0,24.95,Médio,Sim,781.45
Great Dane,6.0,31.75,Grande,Sim,936.28
Bulldog,6.0,31.3,Grande,Sim,926.31
Golden Retriever,7.0,18.14,Médio,Sim,615.28
Boxer,11.0,20.87,Médio,Sim,683.5
Doberman,11.0,20.87,Médio,Não,683.5
Great Dane,6.0,12.25,Médio,Sim,458.35
Golden Retriever,2.0,35.38,Grande,Sim,1015.47
German Shepherd,2.0,19.5,Médio,Sim,649.57
German Shepherd,8.0,19.05,Médio,Sim,638.29
Doberman,6.0,26.76,Grande,Sim,823.59
Beagle,12.0,30.84,Grande,Sim,916.08
Golden Retriever,9.0,20.87,Médio,Não,683.5
Doberman,10.0,26.31,Grande,Não,813.18
Poodle,4.0,20.87,Médio,Sim,683.5
Doberman,1.0,14.51,Médio,Sim,520.41
Siberian Husky,8.0,23.13,Médio,Não,738.29
Yorkshire Terrier,12.0,18.6,Médio,Sim,626.95
Poodle,1.0,22.68,Médio,Não,727.5
Yorkshire Terrier,8.0,22.23,Médio,Não,716.64
German Shepherd,11.0,17.69,Médio,Sim,603.8
Beagle,13.0,20.41,Médio,Não,672.17
Poodle,13.0,22.68,Médio,Não,727.5
Chihuahua,8.0,22.68,Médio,Sim,727.5
Chihuahua,4.0,8.62,Pequeno,Não,352.15
Golden Retriever,8.0,23.13,Médio,Sim,738.29
Great Dane,8.0,23.59,Médio,Sim,749.28
Great Dane,7.0,16.78,Médio,Sim,580.35
Doberman,6.0,14.06,Médio,Sim,508.26
Rottweiler,3.0,20.87,Médio,Sim,683.5
German Shepherd,6.0,25.85,Grande,Sim,802.5
SRD (Sem Raça Definida),8.0,15.42,Médio,Sim,544.7
Dachshund,10.0,25.85,Grande,Sim,802.5
Rottweiler,7.0,15.88,Médio,Sim,556.85
Poodle,1.0,25.85,Grande,Não,802.5
Doberman,10.0,36.74,Grande,Não,1044.61
Australian Shepherd,6.0,29.03,Grande,Sim,875.45
Rottweiler,7.0,28.12,Grande,Sim,854.79
Siberian Husky,2.0,21.77,Médio,Sim,705.49
Rottweiler,7.0,35.38,Grande,Sim,1015.47
Dachshund,1.0,23.13,Médio,Sim,738.29
Beagle,13.0,25.85,Grande,Não,802.5
Yorkshire Terrier,8.0,17.24,Médio,Sim,592.24
Bulldog,13.0,29.48,Grande,Sim,885.61
Chihuahua,3.0,28.12,Grande,Sim,854.79
Chihuahua,7.0,16.78,Médio,Não,580.35
Poodle,8.0,19.96,Médio,Não,661.03
Chihuahua,10.0,24.49,Médio,Sim,770.62
Bulldog,11.0,19.05,Médio,Não,638.29
Doberman,1.0,15.88,Médio,Sim,556.85
Chihuahua,13.0,20.87,Médio,Não,683.5
Labrador Retriever,13.0,34.93,Grande,Não,1005.77
Beagle,8.0,19.05,Médio,Sim,638.29
SRD (Sem Raça Definida),9.0,29.03,Grande,Não,875.45
Bulldog,7.0,22.23,Médio,Sim,716.64
Yorkshire Terrier,2.0,16.33,Médio,Sim,568.64
Yorkshire Terrier,12.0,12.7,Médio,Sim,470.92
Rottweiler,10.0,19.5,Médio,Sim,649.57
Australian Shepherd,11.0,26.76,Grande,Sim,823.59
Beagle,2.0,29.48,Grande,Sim,885.61
Poodle,13.0,18.14,Médio,Sim,615.28
Chihuahua,7.0,19.05,Médio,Sim,638.29
Yorkshire Terrier,2.0,21.32,Médio,Sim,694.53
Doberman,1.0,20.41,Médio,Não,672.17
Australian Shepherd,8.0,26.31,Grande,Sim,813.18
Rottweiler,10.0,17.69,Médio,Sim,603.8
Labrador Retriever,9.0,22.68,Médio,Não,727.5
Doberman,6.0,15.88,Médio,Não,556.85
Bulldog,7.0,16.33,Médio,Sim,568.64
Bulldog,12.0,24.95,Médio,Sim,781.45
Bulldog,7.0,10.43,Médio,Sim,406.27
Poodle,12.0,21.77,Médio,Sim,705.49
Beagle,4.0,18.14,Médio,Sim,615.28
Beagle,8.0,33.57,Grande,Sim,976.25
Chihuahua,3.0,37.19,Grande,Sim,1054.19
German Shepherd,7.0,29.94,Grande,Sim,895.96
German Shepherd,5.0,14.97,Médio,Sim,532.74
Rottweiler,6.0,10.43,Médio,Não,406.27
German Shepherd,3.0,25.4,Grande,Sim,792.0
Rottweiler,8.0,21.32,Médio,Sim,694.53
Australian Shepherd,10.0,21.32,Médio,Sim,694.53
Doberman,5.0,27.67,Grande,Sim,844.51
Golden Retriever,2.0,22.23,Médio,Sim,716.64
Siberian Husky,4.0,18.6,Médio,Sim,626.95
SRD (Sem Raça Definida),7.0,19.5,Médio,Sim,649.57
Boxer,10.0,20.87,Médio,Sim,683.5
Siberian Husky,8.0,19.05,Médio,Sim,638.29
Labrador Retriever,1.0,17.69,Médio,Não,603.8
Rottweiler,4.0,24.49,Médio,Sim,770.62
Golden Retriever,13.0,27.22,Grande,Sim,834.19
Dachshund,3.0,25.4,Grande,Sim,792.0
Australian Shepherd,12.0,29.48,Grande,Não,885.61
Beagle,5.0,23.13,Médio,Não,738.29
Beagle,7.0,22.23,Médio,Sim,716.64
Great Dane,7.0,17.69,Médio,Sim,603.8
Dachshund,2.0,22.68,Médio,Não,727.5
Siberian Husky,9.0,23.13,Médio,Sim,738.29
Australian Shepherd,13.0,29.03,Grande,Sim,875.45
Golden Retriever,10.0,15.88,Médio,Não,556.85
Yorkshire Terrier,11.0,24.95,Médio,Não,781.45
Australian Shepherd,11.0,19.05,Médio,Não,638.29
Bulldog,5.0,32.21,Grande,Sim,946.44
Doberman,6.0,25.85,Grande,Sim,802.5
Siberian Husky,4.0,6.8,Pequeno,Sim,294.77
Great Dane,10.0,16.78,Médio,Não,580.35
Yorkshire Terrier,11.0,18.14,Médio,Sim,615.28
Siberian Husky,10.0,25.4,Grande,Sim,792.0
Dachshund,1.0,24.04,Médio,Sim,759.97
German Shepherd,13.0,24.95,Médio,Sim,781.45
Beagle,13.0,24.04,Médio,Sim,759.97
Yorkshire Terrier,2.0,31.75,Grande,Sim,936.28
Great Dane,11.0,26.31,Grande,Não,813.18
Great Dane,1.0,24.49,Médio,Não,770.62
Chihuahua,6.0,16.78,Médio,Sim,580.35
Doberman,11.0,20.87,Médio,Sim,683.5
Dachshund,13.0,29.03,Grande,Sim,875.45
Bulldog,11.0,5.44,Pequeno,Sim,249.34
Poodle,4.0,14.97,Médio,Sim,532.74
German Shepherd,13.0,17.69,Médio,Não,603.8
Poodle,6.0,20.87,Médio,Sim,683.5
Boxer,1.0,29.03,Grande,Sim,875.45
Chihuahua,10.0,30.84,Grande,Não,916.08
