Breed,Sex,Age,animalWeight_kg,animalSize,Daily Activity Level,Diet,Food Brand,daily_walk_km,Medications,Seizures,Hours of Sleep,Play Time (hrs),Owner Activity Level,Annual Vet Visits,RER_kcal,Healthy
Labrador Retriever,Male,12.0,14.97,Medium,Low,Wet food,Wellness,6.44,No,No,11.0,1.0,Active,0.0,532.74,No
Golden Retriever,Female,13.0,21.77,Medium,Active,Home cooked,Special,3.22,Yes,No,11.0,1.0,Very Active,2.0,705.49,Yes
Great Dane,Female,8.0,25.85,Large,Low,Hard food,Royal Canin,3.22,Yes,No,11.0,1.0,Active,1.0,802.5,Yes
Beagle,Female,10.0,34.47,Large,Active,Hard food,Hill's Science,4.83,Yes,No,10.0,2.0,Low,0.0,995.82,No
Boxer,Female,3.0,21.32,Medium,Low,Special diet,Nutro,4.83,No,No,11.0,2.0,Moderate,2.0,694.53,Yes
Rottweiler,Male,1.0,37.65,Large,Low,Special diet,Pedigree,4.83,No,No,12.0,2.0,Low,0.0,1063.95,No
Great Dane,Male,13.0,24.04,Medium,Active,Home cooked,Special,3.22,Yes,No,11.0,2.0,Very Active,1.0,759.97,Yes
Australian Shepherd,Male,3.0,22.68,Medium,Active,Special diet,Purina,4.83,Yes,No,10.0,0.0,Very Active,0.0,727.5,Yes
Bulldog,Male,9.0,19.96,Medium,Very Active,Wet food,Royal Canin,1.61,Yes,No,9.0,2.0,Active,1.0,661.03,Yes
German Shepherd,Female,6.0,29.03,Large,Active,Special diet,Nutro,1.61,Yes,No,12.0,2.0,Low,1.0,875.45,Yes
Golden Retriever,Male,11.0,23.13,Medium,Active,Wet food,Pedigree,1.61,Yes,No,10.0,2.0,Very Active,1.0,738.29,Yes
Doberman,Male,5.0,22.68,Medium,Low,Wet food,Nutro,4.83,No,No,10.0,1.0,Active,2.0,727.5,Yes
Labrador Retriever,Female,5.0,16.33,Medium,Moderate,Hard food,Hill's Science,3.22,Yes,No,12.0,1.0,Low,1.0,568.64,No
Beagle,Female,9.0,17.24,Medium,Moderate,Home cooked,Special,3.22,No,No,9.0,1.0,Very Active,4.0,592.24,Yes
Great Dane,Female,7.0,22.68,Medium,Low,Hard food,Hill's Science,4.83,No,No,14.0,2.0,Moderate,0.0,727.5,Yes
Australian Shepherd,Male,9.0,25.4,Large,Very Active,Home cooked,Special,3.22,No,No,11.0,0.0,Low,0.0,792.0,Yes
Boxer,Male,11.0,21.32,Medium,Low,Wet food,Wellness,4.83,No,No,13.0,1.0,Active,1.0,694.53,Yes
Boxer,Male,6.0,23.13,Medium,Low,Home cooked,Special,3.22,No,No,10.0,3.0,Very Active,3.0,738.29,Yes
Doberman,Female,7.0,20.41,Medium,Active,Hard food,Wellness,6.44,No,No,10.0,1.0,Very Active,3.0,672.17,Yes
Poodle,Male,12.0,22.68,Medium,Very Active,Special diet,Wellness,4.83,No,No,8.0,0.0,Active,4.0,727.5,Yes
Bulldog,Male,12.0,10.43,Medium,Low,Hard food,Nutro,3.22,No,No,10.0,2.0,Very Active,1.0,406.27,No
Yorkshire Terrier,Male,3.0,12.7,Medium,Very Active,Wet food,Nutro,0.0,Yes,No,9.0,3.0,Active,2.0,470.92,Yes
Doberman,Female,6.0,28.58,Large,Low,Home cooked,Special,4.83,No,No,11.0,3.0,Very Active,4.0,865.26,Yes
Doberman,Female,10.0,16.33,Medium,Active,Wet food,Royal Canin,4.83,No,No,11.0,3.0,Very Active,1.0,568.64,Yes
Chihuahua,Male,5.0,14.51,Medium,Very Active,Home cooked,Special,4.83,No,No,11.0,1.0,Very Active,0.0,520.41,Yes
Dachshund,Female,8.0,13.61,Medium,Active,Hard food,Nutro,8.05,Yes,No,13.0,2.0,Active,0.0,496.01,Yes
German Shepherd,Female,13.0,33.11,Large,Moderate,Wet food,Special,1.61,Yes,Yes,11.0,1.0,Very Active,1.0,966.2,No
Boxer,Male,6.0,19.96,Medium,Active,Special diet,Iams,6.44,Yes,No,12.0,1.0,Very Active,1.0,661.03,Yes
Chihuahua,Male,5.0,26.76,Large,Very Active,Wet food,Blue Buffalo,6.44,Yes,No,10.0,3.0,Low,0.0,823.59,Yes
Mixed/SRD,Female,7.0,24.95,Medium,Moderate,Special diet,Hill's Science,3.22,Yes,No,10.0,0.0,Very Active,3.0,781.45,Yes
Australian Shepherd,Male,11.0,26.31,Large,Active,Home cooked,Special,4.83,No,No,11.0,2.0,Moderate,1.0,813.18,Yes
Siberian Husky,Male,9.0,25.4,Large,Active,Wet food,Wellness,4.83,No,No,12.0,1.0,Very Active,4.0,792.0,No
Bulldog,Male,13.0,37.65,Large,Low,Home cooked,Special,4.83,No,No,11.0,2.0,Very Active,2.0,1063.95,Yes
Bulldog,Female,9.0,18.14,Medium,Active,Hard food,Hill's Science,4.83,Yes,No,9.0,2.0,Very Active,2.0,615.28,Yes
Chihuahua,Female,7.0,29.48,Large,Active,Wet food,Purina,1.61,Yes,No,10.0,0.0,Active,0.0,885.61,Yes
Rottweiler,Female,2.0,21.32,Medium,Moderate,Special diet,Iams,6.44,No,No,12.0,4.0,Very Active,3.0,694.53,Yes
Bulldog,Male,11.0,19.5,Medium,Active,Special diet,Purina,6.44,Yes,No,11.0,0.0,Very Active,3.0,649.57,Yes
Golden Retriever,Female,4.0,28.12,Large,Active,Hard food,Hill's Science,0.0,Yes,No,11.0,0.0,Low,1.0,854.79,No
Beagle,Male,6.0,20.41,Medium,Active,Home cooked,Special,3.22,No,No,11.0,0.0,Moderate,1.0,672.17,Yes
German Shepherd,Female,9.0,22.68,Medium,Active,Special diet,Wellness,4.83,Yes,No,12.0,1.0,Low,2.0,727.5,Yes
Dachshund,Male,6.0,27.67,Large,Very Active,Wet food,Wellness,1.61,No,No,10.0,1.0,Moderate,0.0,844.51,Yes
Chihuahua,Male,13.0,14.51,Medium,Moderate,Home cooked,Special,9.66,No,No,12.0,1.0,Moderate,2.0,520.41,Yes
German Shepherd,Male,10.0,16.78,Medium,Very Active,Wet food,Blue Buffalo,4.83,Yes,No,9.0,2.0,Active,2.0,580.35,Yes
Doberman,Male,6.0,14.06,Medium,Low,Hard food,Nutro,3.22,No,No,13.0,1.0,Very Active,2.0,508.26,Yes
Beagle,Male,3.0,30.84,Large,Active,Home cooked,Special,1.61,Yes,No,10.0,2.0,Very Active,1.0,916.08,Yes
Siberian Husky,Male,11.0,30.39,Large,Very Active,Home cooked,Special,3.22,Yes,No,9.0,1.0,Very Active,2.0,906.04,Yes
Yorkshire Terrier,Female,9.0,24.95,Medium,Very Active,Special diet,Purina,0.0,No,No,10.0,2.0,Active,0.0,781.45,Yes
Bulldog,Male,9.0,19.05,Medium,Active,Hard food,Purina,0.0,Yes,No,9.0,1.0,Moderate,1.0,638.29,No
Australian Shepherd,Male,3.0,21.32,Medium,Moderate,Special diet,Royal Canin,6.44,No,No,13.0,1.0,Very Active,0.0,694.53,Yes
Poodle,Male,12.0,29.48,Large,Very Active,Wet food,Purina,6.44,Yes,No,10.0,0.0,Very Active,0.0,885.61,No
Great Dane,Female,9.0,36.29,Large,Very Active,Hard food,Pedigree,4.83,Yes,No,12.0,2.0,Moderate,2.0,1035.0,Yes
Beagle,Male,11.0,34.93,Large,Very Active,Wet food,Purina,8.05,No,No,14.0,3.0,Active,0.0,1005.77,No
Golden Retriever,Female,11.0,30.84,Large,Low,Wet food,Pedigree,1.61,Yes,No,11.0,0.0,Very Active,0.0,916.08,No
Boxer,Male,9.0,23.13,Medium,Moderate,Special diet,Nutro,4.83,Yes,No,11.0,1.0,Low,1.0,738.29,Yes
Mixed/SRD,Male,13.0,12.7,Medium,Low,Special diet,Wellness,0.0,Yes,No,11.0,2.0,Low,3.0,470.92,No
Golden Retriever,Male,12.0,21.77,Medium,Very Active,Home cooked,Special,8.05,No,No,11.0,1.0,Very Active,0.0,705.49,Yes
Yorkshire Terrier,Male,4.0,21.77,Medium,Moderate,Wet food,Hill's Science,4.83,No,Yes,13.0,0.0,Low,3.0,705.49,No
German Shepherd,Female,3.0,19.5,Medium,Active,Wet food,Wellness,8.05,Yes,No,13.0,2.0,Moderate,2.0,649.57,No
Dachshund,Female,5.0,22.68,Medium,Very Active,Special diet,Special,0.0,No,No,11.0,1.0,Very Active,1.0,727.5,Yes
Rottweiler,Female,7.0,24.04,Medium,Very Active,Home cooked,Special,1.61,No,No,9.0,1.0,Low,0.0,759.97,Yes
Mixed/SRD,Female,1.0,22.23,Medium,Very Active,Home cooked,Special,6.44,No,No,9.0,0.0,Low,2.0,716.64,Yes
Doberman,Male,10.0,22.68,Medium,Moderate,Special diet,Wellness,3.22,Yes,No,10.0,3.0,Low,2.0,727.5,No
Doberman,Male,11.0,20.41,Medium,Active,Special diet,Royal Canin,1.61,No,No,9.0,1.0,Low,1.0,672.17,Yes
Boxer,Male,4.0,10.89,Medium,Active,Special diet,Pedigree,6.44,Yes,No,9.0,1.0,Very Active,1.0,419.63,Yes
Mixed/SRD,Female,6.0,32.66,Large,Active,Hard food,Wellness,0.0,Yes,No,12.0,1.0,Moderate,2.0,956.34,No
Rottweiler,Male,11.0,23.13,Medium,Very Active,Wet food,Hill's Science,8.05,Yes,No,11.0,1.0,Very Active,1.0,738.29,Yes
Golden Retriever,Male,2.0,32.66,Large,Active,Home cooked,Special,6.44,Yes,No,12.0,4.0,Low,1.0,956.34,Yes
Beagle,Male,13.0,19.96,Medium,Low,Home cooked,Special,8.05,No,No,11.0,2.0,Active,2.0,661.03,Yes
Great Dane,Male,9.0,28.58,Large,Very Active,Hard food,Nutro,4.83,No,No,14.0,2.0,Active,0.0,865.26,Yes
Bulldog,Female,8.0,9.98,Small,Moderate,Special diet,Royal Canin,0.0,No,No,14.0,1.0,Active,2.0,393.05,Yes
Rottweiler,Male,7.0,28.12,Large,Low,Hard food,Royal Canin,3.22,No,No,10.0,1.0,Active,3.0,854.79,Yes
Rottweiler,Female,8.0,22.68,Medium,Very Active,Home cooked,Special,4.83,Yes,No,11.0,2.0,Very Active,1.0,727.5,Yes
Doberman,Male,7.0,22.68,Medium,Very Active,Hard food,Iams,3.22,Yes,No,12.0,0.0,Very Active,1.0,727.5,Yes
German Shepherd,Male,7.0,30.39,Large,Very Active,Wet food,Royal Canin,1.61,No,No,11.0,1.0,Moderate,4.0,906.04,Yes
German Shepherd,Male,8.0,15.42,Medium,Active,Special diet,Wellness,1.61,No,No,11.0,2.0,Very Active,3.0,544.7,Yes
Yorkshire Terrier,Male,3.0,15.88,Medium,Active,Hard food,Royal Canin,0.0,Yes,No,13.0,1.0,Very Active,0.0,556.85,Yes
Poodle,Female,2.0,31.3,Large,Active,Wet food,Special,3.22,Yes,No,10.0,2.0,Very Active,0.0,926.31,Yes
Boxer,Male,10.0,23.13,Medium,Very Active,Special diet,Nutro,4.83,Yes,No,13.0,0.0,Active,1.0,738.29,Yes
Chihuahua,Female,1.0,20.87,Medium,Active,Home cooked,Special,4.83,Yes,No,14.0,1.0,Very Active,1.0,683.5,Yes
Golden Retriever,Female,7.0,27.67,Large,Moderate,Wet food,Pedigree,6.44,Yes,No,12.0,0.0,Moderate,2.0,844.51,No
Chihuahua,Male,6.0,19.96,Medium,Low,Home cooked,Special,4.83,No,No,14.0,1.0,Very Active,2.0,661.03,Yes
Mixed/SRD,Female,13.0,20.87,Medium,Low,Home cooked,Special,8.05,Yes,No,9.0,2.0,Low,1.0,683.5,No
German Shepherd,Male,7.0,24.49,Medium,Active,Special diet,Wellness,6.44,No,No,11.0,0.0,Very Active,3.0,770.62,Yes
Beagle,Male,7.0,27.67,Large,Moderate,Home cooked,Special,8.05,Yes,No,11.0,1.0,Low,2.0,844.51,Yes
Dachshund,Female,7.0,22.23,Medium,Active,Hard food,Royal Canin,3.22,Yes,No,10.0,2.0,Moderate,1.0,716.64,Yes
Doberman,Male,6.0,29.94,Large,Very Active,Hard food,Iams,3.22,No,No,12.0,1.0,Very Active,1.0,895.96,Yes
Chihuahua,Female,5.0,25.4,Large,Active,Home cooked,Special,3.22,Yes,No,12.0,1.0,Very Active,2.0,792.0,Yes
Bulldog,Female,9.0,23.13,Medium,Low,Home cooked,Special,4.83,No,No,13.0,1.0,Active,0.0,738.29,Yes
Dachshund,Female,4.0,22.23,Medium,Active,Special diet,Royal Canin,3.22,No,No,12.0,2.0,Moderate,2.0,716.64,Yes
Australian Shepherd,Male,13.0,34.02,Large,Low,Home cooked,Special,1.61,Yes,No,9.0,1.0,Low,3.0,986.05,Yes
Rottweiler,Male,12.0,24.49,Medium,Moderate,Special diet,Blue Buffalo,4.83,No,No,11.0,2.0,Active,4.0,770.62,Yes
German Shepherd,Male,2.0,12.7,Medium,Very Active,Special diet,Iams,4.83,Yes,No,11.0,1.0,Low,1.0,470.92,Yes
Doberman,Male,1.0,19.5,Medium,Low,Home cooked,Special,6.44,No,No,9.0,2.0,Active,1.0,649.57,Yes
Poodle,Male,8.0,34.93,Large,Active,Wet food,Nutro,3.22,Yes,No,12.0,1.0,Very Active,3.0,1005.77,Yes
Beagle,Male,10.0,13.61,Medium,Moderate,Hard food,Nutro,3.22,Yes,No,10.0,2.0,Very Active,1.0,496.01,No
Poodle,Female,11.0,27.22,Large,Active,Home cooked,Special,4.83,No,No,11.0,2.0,Active,4.0,834.19,Yes
Labrador Retriever,Male,9.0,18.6,Medium,Active,Special diet,Hill's Science,6.44,No,No,8.0,2.0,Low,0.0,626.95,Yes
Doberman,Male,4.0,27.22,Large,Moderate,Wet food,Blue Buffalo,4.83,Yes,No,14.0,3.0,Very Active,1.0,834.19,Yes
Great Dane,Female,8.0,22.23,Medium,Moderate,Home cooked,Special,4.83,No,No,9.0,0.0,Very Active,3.0,716.64,Yes
Boxer,Male,10.0,23.59,Medium,Low,Wet food,Blue Buffalo,1.61,Yes,No,12.0,3.0,Very Active,1.0,749.28,No
Beagle,Male,2.0,22.68,Medium,Moderate,Special diet,Special,3.22,Yes,No,13.0,2.0,Moderate,2.0,727.5,Yes
Doberman,Male,2.0,17.24,Medium,Active,Home cooked,Special,8.05,Yes,No,11.0,3.0,Very Active,2.0,592.24,Yes
Beagle,Male,1.0,15.42,Medium,Active,Wet food,Hill's Science,8.05,Yes,No,9.0,3.0,Very Active,1.0,544.7,No
Labrador Retriever,Female,3.0,8.16,Small,Moderate,Special diet,Pedigree,6.44,No,No,11.0,2.0,Low,3.0,337.96,Yes
Labrador Retriever,Female,3.0,22.68,Medium,Active,Wet food,Hill's Science,6.44,No,No,10.0,2.0,Very Active,0.0,727.5,Yes
Australian Shepherd,Female,6.0,25.4,Large,Moderate,Hard food,Pedigree,6.44,Yes,No,8.0,2.0,Moderate,3.0,792.0,Yes
Labrador Retriever,Female,11.0,23.13,Medium,Very Active,Special diet,Royal Canin,4.83,No,Yes,14.0,2.0,Very Active,0.0,738.29,Yes
Rottweiler,Male,13.0,19.5,Medium,Moderate,Special diet,Pedigree,4.83,Yes,No,10.0,3.0,Moderate,4.0,649.57,Yes
Beagle,Male,10.0,15.42,Medium,Moderate,Hard food,Nutro,8.05,No,No,11.0,0.0,Very Active,3.0,544.7,Yes
Beagle,Female,11.0,13.61,Medium,Active,Home cooked,Special,8.05,No,No,11.0,1.0,Very Active,1.0,496.01,Yes
Mixed/SRD,Male,12.0,28.58,Large,Low,Wet food,Blue Buffalo,4.83,Yes,No,11.0,1.0,Active,0.0,865.26,No
Golden Retriever,Female,1.0,23.13,Medium,Very Active,Home cooked,Special,0.0,Yes,No,12.0,2.0,Very Active,1.0,738.29,Yes
Yorkshire Terrier,Female,12.0,26.76,Large,Very Active,Hard food,Blue Buffalo,3.22,No,No,12.0,2.0,Low,3.0,823.59,Yes
Australian Shepherd,Female,5.0,29.48,Large,Active,Hard food,Nutro,4.83,Yes,No,13.0,1.0,Very Active,1.0,885.61,Yes
Poodle,Male,6.0,19.96,Medium,Very Active,Home cooked,Special,1.61,No,No,12.0,3.0,Very Active,1.0,661.03,Yes
Doberman,Male,2.0,27.67,Large,Active,Special diet,Royal Canin,6.44,No,No,12.0,1.0,Low,2.0,844.51,Yes
Dachshund,Male,7.0,28.12,Large,Low,Hard food,Nutro,3.22,Yes,No,11.0,0.0,Very Active,0.0,854.79,No
Yorkshire Terrier,Female,2.0,24.49,Medium,Very Active,Wet food,Nutro,4.83,No,No,12.0,1.0,Very Active,1.0,770.62,Yes
Poodle,Female,12.0,24.95,Medium,Active,Wet food,Iams,0.0,No,No,12.0,0.0,Very Active,0.0,781.45,No
Golden Retriever,Male,7.0,18.14,Medium,Moderate,Wet food,Wellness,1.61,Yes,No,11.0,2.0,Active,0.0,615.28,No
Poodle,Female,3.0,7.71,Small,Very Active,Home cooked,Special,1.61,Yes,No,11.0,0.0,Very Active,1.0,323.88,Yes
Yorkshire Terrier,Male,11.0,15.88,Medium,Active,Home cooked,Special,1.61,Yes,Yes,9.0,1.0,Very Active,2.0,556.85,No
Great Dane,Male,9.0,21.77,Medium,Very Active,Special diet,Purina,0.0,No,No,11.0,2.0,Very Active,1.0,705.49,Yes
Poodle,Female,9.0,23.13,Medium,Active,Special diet,Iams,4.83,No,No,13.0,2.0,Active,3.0,738.29,Yes
Poodle,Female,2.0,20.87,Medium,Active,Home cooked,Special,1.61,Yes,No,8.0,1.0,Very Active,0.0,683.5,Yes
Golden Retriever,Male,9.0,20.87,Medium,Low,Hard food,Pedigree,1.61,No,Yes,11.0,2.0,Moderate,1.0,683.5,No
Great Dane,Male,7.0,29.03,Large,Active,Hard food,Wellness,8.05,Yes,No,8.0,1.0,Moderate,3.0,875.45,No
Dachshund,Female,13.0,22.23,Medium,Active,Home cooked,Special,0.0,No,No,13.0,2.0,Active,0.0,716.64,Yes
Labrador Retriever,Female,7.0,12.7,Medium,Active,Wet food,Purina,9.66,Yes,No,11.0,1.0,Very Active,1.0,470.92,Yes
Great Dane,Male,11.0,31.3,Large,Very Active,Home cooked,Special,4.83,No,No,11.0,1.0,Very Active,0.0,926.31,Yes
Rottweiler,Male,1.0,24.04,Medium,Moderate,Home cooked,Special,4.83,No,No,10.0,1.0,Very Active,0.0,759.97,Yes
Siberian Husky,Male,13.0,28.12,Large,Low,Home cooked,Special,3.22,Yes,No,11.0,0.0,Moderate,1.0,854.79,Yes
Yorkshire Terrier,Male,4.0,15.88,Medium,Active,Special diet,Wellness,1.61,Yes,No,11.0,2.0,Moderate,0.0,556.85,Yes
Rottweiler,Female,11.0,34.93,Large,Low,Hard food,Iams,6.44,No,No,11.0,2.0,Moderate,1.0,1005.77,No
Dachshund,Male,4.0,19.5,Medium,Moderate,Wet food,Purina,3.22,Yes,No,12.0,1.0,Moderate,4.0,649.57,Yes
Labrador Retriever,Male,9.0,21.77,Medium,Very Active,Home cooked,Special,3.22,Yes,No,10.0,1.0,Moderate,1.0,705.49,Yes
Yorkshire Terrier,Male,12.0,16.78,Medium,Low,Home cooked,Special,1.61,Yes,No,12.0,1.0,Low,2.0,580.35,No
Doberman,Male,2.0,29.48,Large,Active,Hard food,Pedigree,3.22,No,No,9.0,1.0,Low,2.0,885.61,Yes
Beagle,Male,7.0,24.04,Medium,Moderate,Home cooked,Special,3.22,Yes,No,11.0,2.0,Low,3.0,759.97,Yes
Chihuahua,Male,9.0,20.87,Medium,Active,Wet food,Wellness,6.44,No,No,11.0,2.0,Moderate,0.0,683.5,Yes
Great Dane,Female,12.0,28.58,Large,Very Active,Home cooked,Special,4.83,No,No,14.0,2.0,Moderate,1.0,865.26,Yes
Siberian Husky,Male,8.0,15.88,Medium,Low,Wet food,Nutro,1.61,Yes,No,12.0,2.0,Very Active,3.0,556.85,Yes
Australian Shepherd,Male,10.0,19.05,Medium,Very Active,Wet food,Special,8.05,Yes,No,12.0,2.0,Moderate,2.0,638.29,Yes
Bulldog,Female,2.0,35.38,Large,Very Active,Special diet,Blue Buffalo,3.22,No,No,9.0,2.0,Moderate,2.0,1015.47,Yes
Yorkshire Terrier,Female,5.0,23.13,Medium,Active,Hard food,Royal Canin,8.05,Yes,No,9.0,1.0,Moderate,0.0,738.29,Yes
Bulldog,Female,3.0,22.68,Medium,Low,Hard food,Blue Buffalo,4.83,Yes,Yes,9.0,3.0,Low,1.0,727.5,No
Labrador Retriever,Female,8.0,22.68,Medium,Active,Home cooked,Special,1.61,Yes,No,12.0,3.0,Low,1.0,727.5,Yes
Australian Shepherd,Female,2.0,16.33,Medium,Moderate,Hard food,Royal Canin,3.22,No,No,11.0,1.0,Very Active,1.0,568.64,Yes
Bulldog,Male,10.0,24.04,Medium,Active,Hard food,Royal Canin,3.22,No,No,12.0,2.0,Very Active,1.0,759.97,Yes
Doberman,Female,12.0,20.87,Medium,Active,Wet food,Wellness,3.22,Yes,No,12.0,1.0,Low,1.0,683.5,Yes
Golden Retriever,Male,5.0,17.69,Medium,Very Active,Hard food,Royal Canin,4.83,No,No,11.0,1.0,Active,0.0,603.8,Yes
Doberman,Male,4.0,24.95,Medium,Active,Wet food,Blue Buffalo,4.83,No,Yes,11.0,2.0,Moderate,0.0,781.45,Yes
Golden Retriever,Female,5.0,13.15,Medium,Moderate,Wet food,Wellness,3.22,No,No,9.0,0.0,Very Active,1.0,483.38,Yes
Siberian Husky,Male,11.0,21.77,Medium,Low,Hard food,Wellness,6.44,Yes,No,12.0,1.0,Very Active,3.0,705.49,No
Labrador Retriever,Male,4.0,12.7,Medium,Active,Wet food,Purina,4.83,Yes,No,9.0,0.0,Very Active,0.0,470.92,No
Great Dane,Male,10.0,29.03,Large,Very Active,Hard food,Royal Canin,1.61,Yes,No,11.0,2.0,Active,3.0,875.45,Yes
Chihuahua,Male,11.0,30.39,Large,Active,Wet food,Special,0.0,No,No,11.0,0.0,Low,4.0,906.04,Yes
Doberman,Female,6.0,23.13,Medium,Moderate,Home cooked,Special,8.05,Yes,No,11.0,2.0,Low,0.0,738.29,No
Rottweiler,Male,7.0,35.38,Large,Active,Home cooked,Special,1.61,Yes,No,11.0,3.0,Moderate,0.0,1015.47,Yes
Dachshund,Male,6.0,24.95,Medium,Moderate,Home cooked,Special,6.44,No,No,11.0,2.0,Low,1.0,781.45,Yes
Mixed/SRD,Male,13.0,19.5,Medium,Active,Home cooked,Special,6.44,No,No,12.0,2.0,Very Active,1.0,649.57,Yes
Dachshund,Female,6.0,26.31,Large,Active,Hard food,Purina,1.61,No,No,11.0,1.0,Moderate,1.0,813.18,Yes
Boxer,Female,9.0,25.85,Large,Active,Home cooked,Special,0.0,No,No,11.0,0.0,Very Active,1.0,802.5,Yes
Labrador Retriever,Female,5.0,19.5,Medium,Low,Wet food,Nutro,3.22,No,Yes,13.0,2.0,Low,0.0,649.57,No
Australian Shepherd,Male,1.0,13.61,Medium,Very Active,Home cooked,Special,4.83,No,No,11.0,0.0,Very Active,1.0,496.01,Yes
Boxer,Male,5.0,22.68,Medium,Very Active,Hard food,Purina,3.22,Yes,No,12.0,1.0,Moderate,2.0,727.5,Yes
Doberman,Female,10.0,34.93,Large,Active,Hard food,Royal Canin,3.22,No,Yes,8.0,2.0,Active,1.0,1005.77,No
Yorkshire Terrier,Female,12.0,20.87,Medium,Low,Hard food,Iams,3.22,Yes,No,10.0,1.0,Moderate,4.0,683.5,No
Beagle,Male,7.0,14.51,Medium,Very Active,Home cooked,Special,6.44,No,Yes,12.0,2.0,Active,3.0,520.41,Yes
Poodle,Male,4.0,24.95,Medium,Active,Wet food,Blue Buffalo,4.83,Yes,No,10.0,2.0,Moderate,3.0,781.45,Yes
Doberman,Female,10.0,13.15,Medium,Active,Wet food,Wellness,8.05,No,No,11.0,2.0,Active,1.0,483.38,Yes
Australian Shepherd,Female,7.0,17.69,Medium,Very Active,Special diet,Iams,6.44,No,No,12.0,2.0,Active,2.0,603.8,Yes
Boxer,Female,2.0,29.03,Large,Low,Home cooked,Special,3.22,No,No,10.0,2.0,Moderate,1.0,875.45,Yes
Great Dane,Female,4.0,23.59,Medium,Active,Home cooked,Special,6.44,Yes,No,10.0,0.0,Very Active,4.0,749.28,Yes
Poodle,Female,6.0,30.39,Large,Very Active,Wet food,Iams,8.05,Yes,No,10.0,3.0,Moderate,2.0,906.04,Yes
Beagle,Female,2.0,17.24,Medium,Moderate,Home cooked,Special,3.22,Yes,No,12.0,2.0,Active,0.0,592.24,Yes
Poodle,Female,1.0,15.88,Medium,Low,Hard food,Pedigree,1.61,Yes,No,12.0,2.0,Very Active,0.0,556.85,No
Golden Retriever,Male,6.0,28.58,Large,Moderate,Wet food,Iams,6.44,Yes,No,11.0,2.0,Active,0.0,865.26,No
Poodle,Male,11.0,35.38,Large,Low,Wet food,Blue Buffalo,3.22,No,No,12.0,1.0,Very Active,1.0,1015.47,Yes
Rottweiler,Male,6.0,22.68,Medium,Moderate,Hard food,Royal Canin,0.0,Yes,No,10.0,1.0,Low,0.0,727.5,No
Siberian Husky,Male,3.0,15.88,Medium,Moderate,Hard food,Nutro,8.05,Yes,No,10.0,0.0,Active,1.0,556.85,Yes
German Shepherd,Female,9.0,22.23,Medium,Active,Special diet,Iams,4.83,No,No,9.0,2.0,Moderate,1.0,716.64,Yes
Beagle,Male,3.0,29.03,Large,Active,Home cooked,Special,1.61,Yes,No,13.0,2.0,Low,3.0,875.45,Yes
Yorkshire Terrier,Female,5.0,25.4,Large,Active,Home cooked,Special,3.22,Yes,No,10.0,3.0,Active,0.0,792.0,Yes
Chihuahua,Female,7.0,16.78,Medium,Active,Home cooked,Special,3.22,No,No,10.0,1.0,Moderate,1.0,580.35,Yes
German Shepherd,Female,9.0,29.94,Large,Low,Special diet,Hill's Science,4.83,No,No,11.0,0.0,Low,0.0,895.96,Yes
Bulldog,Female,5.0,19.96,Medium,Active,Special diet,Pedigree,4.83,No,No,14.0,1.0,Active,4.0,661.03,Yes
Doberman,Male,1.0,28.58,Large,Low,Special diet,Iams,1.61,Yes,No,11.0,0.0,Low,1.0,865.26,No
Rottweiler,Male,13.0,37.65,Large,Moderate,Wet food,Royal Canin,4.83,Yes,No,10.0,2.0,Very Active,2.0,1063.95,No
Poodle,Male,11.0,25.4,Large,Moderate,Home cooked,Special,1.61,No,No,12.0,0.0,Very Active,2.0,792.0,Yes
Chihuahua,Male,1.0,18.14,Medium,Active,Home cooked,Special,3.22,Yes,No,9.0,2.0,Active,2.0,615.28,No
Golden Retriever,Female,12.0,26.76,Large,Very Active,Home cooked,Special,4.83,Yes,No,11.0,1.0,Very Active,2.0,823.59,Yes
Labrador Retriever,Male,3.0,24.04,Medium,Moderate,Wet food,Special,4.83,No,No,10.0,2.0,Very Active,1.0,759.97,Yes
Chihuahua,Male,2.0,25.85,Large,Very Active,Home cooked,Special,1.61,No,No,11.0,2.0,Very Active,2.0,802.5,Yes
Dachshund,Male,7.0,21.32,Medium,Very Active,Wet food,Nutro,0.0,No,No,12.0,2.0,Active,1.0,694.53,No
Poodle,Male,1.0,34.47,Large,Low,Hard food,Nutro,6.44,No,No,10.0,2.0,Very Active,0.0,995.82,No
German Shepherd,Male,9.0,26.76,Large,Moderate,Hard food,Hill's Science,4.83,No,No,10.0,0.0,Active,2.0,823.59,Yes
Australian Shepherd,Male,13.0,36.29,Large,Low,Wet food,Pedigree,8.05,Yes,No,11.0,3.0,Very Active,1.0,1035.0,No
Poodle,Male,11.0,34.02,Large,Moderate,Wet food,Nutro,3.22,Yes,No,12.0,2.0,Low,1.0,986.05,No
Dachshund,Female,13.0,25.85,Large,Low,Home cooked,Special,1.61,No,No,10.0,1.0,Very Active,2.0,802.5,Yes
Dachshund,Female,8.0,19.5,Medium,Very Active,Special diet,Pedigree,0.0,Yes,No,13.0,0.0,Moderate,2.0,649.57,Yes
Dachshund,Female,12.0,22.68,Medium,Active,Wet food,Nutro,0.0,No,No,9.0,2.0,Very Active,0.0,727.5,No
Labrador Retriever,Male,4.0,25.4,Large,Moderate,Hard food,Pedigree,1.61,No,No,9.0,0.0,Low,0.0,792.0,No
