Raca,Sexo,Idade,peso_kg,porte_animal,Nivel_Atividade_Pet,Dieta_Atual,Marca_Racao,caminhada_diaria_km,Medicamentos,Convulsoes,Horas_Sono,Tempo_Brincadeira_Horas,Visitas_Anuais_Veterinario,calorias_diarias_RER,Status_Saude
Poodle,Fêmea,3.0,26.76,Grande,Ativo,Caseira,Special,4.83,Sim,Não,12.0,3.0,2.0,823.59,Sim
German Shepherd,Macho,4.0,21.77,Médio,Ativo,Caseira,Special,3.22,Não,Não,10.0,1.0,1.0,705.49,Sim
German Shepherd,Macho,4.0,19.96,Médio,Moderado,Ração Seca,Royal Canin,1.61,Sim,Não,12.0,1.0,2.0,661.03,Sim
Labrador Retriever,Fêmea,1.0,31.75,Grande,Ativo,Especial,Wellness,1.61,Não,Não,11.0,1.0,1.0,936.28,Sim
Boxer,Fêmea,12.0,19.5,Médio,Baixo,Caseira,Special,1.61,Sim,Não,10.0,2.0,1.0,649.57,Não
Yorkshire Terrier,Macho,5.0,31.3,Grande,Moderado,Especial,Hill's Science,4.83,Sim,Não,10.0,2.0,2.0,926.31,Sim
Chihuahua,Macho,1.0,29.48,Grande,Ativo,Úmida,Blue Buffalo,1.61,Não,Não,11.0,1.0,2.0,885.61,Sim
Yorkshire Terrier,Fêmea,9.0,30.39,Grande,Ativo,Úmida,Wellness,8.05,Sim,Não,11.0,1.0,2.0,906.04,Não
Poodle,Macho,12.0,24.95,Médio,Ativo,Úmida,Royal Canin,3.22,Sim,Não,12.0,3.0,0.0,781.45,Não
Boxer,Fêmea,7.0,30.39,Grande,Moderado,Caseira,Special,3.22,Sim,Não,9.0,3.0,0.0,906.04,Não
Great Dane,Fêmea,9.0,20.87,Médio,Moderado,Ração Seca,Hill's Science,3.22,Sim,Não,10.0,1.0,1.0,683.5,Não
Yorkshire Terrier,Macho,13.0,4.54,Pequeno,Moderado,Úmida,Wellness,1.61,Sim,Não,10.0,4.0,2.0,217.72,Não
Siberian Husky,Macho,7.0,19.96,Médio,Moderado,Especial,Royal Canin,0.0,Não,Não,10.0,3.0,2.0,661.03,Sim
Poodle,Fêmea,12.0,33.57,Grande,Ativo,Ração Seca,Nutro,4.83,Sim,Não,10.0,0.0,3.0,976.25,Sim
Yorkshire Terrier,Macho,4.0,23.13,Médio,Moderado,Especial,Royal Canin,6.44,Sim,Não,10.0,0.0,0.0,738.29,Sim
Siberian Husky,Fêmea,13.0,32.66,Grande,Baixo,Especial,Iams,1.61,Sim,Não,10.0,2.0,1.0,956.34,Sim
Dachshund,Fêmea,10.0,20.87,Médio,Muito Ativo,Caseira,Special,1.61,Sim,Não,12.0,3.0,0.0,683.5,Não
Dachshund,Fêmea,10.0,19.5,Médio,Ativo,Úmida,Wellness,8.05,Sim,Não,11.0,1.0,2.0,649.57,Não
German Shepherd,Fêmea,11.0,24.95,Médio,Muito Ativo,Especial,Iams,9.66,Não,Não,8.0,3.0,3.0,781.45,Sim
Beagle,Fêmea,7.0,18.14,Médio,Moderado,Caseira,Special,1.61,Não,Não,10.0,3.0,0.0,615.28,Sim
Labrador Retriever,Macho,7.0,9.98,Pequeno,Ativo,Ração Seca,Pedigree,3.22,Sim,Não,8.0,2.0,2.0,393.05,Sim
Beagle,Macho,12.0,22.68,Médio,Baixo,Caseira,Special,0.0,Não,Não,13.0,1.0,4.0,727.5,Sim
Beagle,Fêmea,12.0,32.21,Grande,Baixo,Úmida,Pedigree,6.44,Não,Não,8.0,1.0,3.0,946.44,Sim
Bulldog,Fêmea,9.0,24.49,Médio,Muito Ativo,Especial,Royal Canin,3.22,Não,Não,11.0,1.0,1.0,770.62,Sim
Golden Retriever,Fêmea,6.0,21.77,Médio,Moderado,Úmida,Hill's Science,1.61,Não,Não,10.0,2.0,0.0,705.49,Sim
Chihuahua,Macho,8.0,26.31,Grande,Moderado,Ração Seca,Wellness,0.0,Sim,Não,13.0,1.0,1.0,813.18,Não
Boxer,Macho,11.0,14.06,Médio,Baixo,Úmida,Hill's Science,0.0,Sim,Não,12.0,2.0,0.0,508.26,Não
Beagle,Macho,13.0,29.03,Grande,Ativo,Caseira,Special,6.44,Sim,Não,11.0,1.0,3.0,875.45,Sim
German Shepherd,Macho,5.0,26.76,Grande,Moderado,Especial,Blue Buffalo,4.83,Sim,Não,9.0,0.0,2.0,823.59,Sim
Beagle,Fêmea,4.0,25.4,Grande,Moderado,Especial,Hill's Science,8.05,Não,Não,11.0,2.0,1.0,792.0,Sim
Beagle,Fêmea,1.0,16.33,Médio,Ativo,Especial,Hill's Science,3.22,Não,Não,11.0,0.0,2.0,568.64,Sim
Rottweiler,Macho,13.0,18.14,Médio,Ativo,Especial,Iams,1.61,Não,Não,12.0,2.0,3.0,615.28,Sim
Yorkshire Terrier,Macho,2.0,20.87,Médio,Ativo,Ração Seca,Royal Canin,6.44,Não,Sim,11.0,1.0,1.0,683.5,Sim
Poodle,Fêmea,10.0,14.97,Médio,Baixo,Úmida,Royal Canin,3.22,Sim,Não,13.0,1.0,1.0,532.74,Não
SRD (Sem Raça Definida),Macho,4.0,22.23,Médio,Muito Ativo,Caseira,Special,3.22,Não,Não,11.0,3.0,1.0,716.64,Sim
Bulldog,Fêmea,5.0,14.97,Médio,Baixo,Úmida,Blue Buffalo,4.83,Não,Não,10.0,2.0,3.0,532.74,Sim
Dachshund,Fêmea,6.0,23.13,Médio,Baixo,Caseira,Special,1.61,Não,Não,10.0,1.0,0.0,738.29,Sim
Boxer,Macho,6.0,29.94,Grande,Moderado,Úmida,Wellness,4.83,Não,Não,13.0,1.0,2.0,895.96,Sim
Golden Retriever,Fêmea,4.0,14.51,Médio,Ativo,Úmida,Pedigree,8.05,Sim,Não,10.0,2.0,3.0,520.41,Não
Chihuahua,Macho,11.0,15.42,Médio,Baixo,Caseira,Special,4.83,Não,Não,10.0,2.0,0.0,544.7,Sim
Poodle,Macho,10.0,16.78,Médio,Moderado,Caseira,Special,4.83,Sim,Não,12.0,2.0,4.0,580.35,Sim
Doberman,Fêmea,11.0,27.67,Grande,Muito Ativo,Caseira,Special,0.0,Não,Não,9.0,1.0,4.0,844.51,Sim
Dachshund,Fêmea,8.0,27.22,Grande,Ativo,Úmida,Hill's Science,3.22,Não,Não,10.0,1.0,3.0,834.19,Sim
Bulldog,Fêmea,9.0,24.95,Médio,Muito Ativo,Caseira,Special,4.83,Não,Não,12.0,3.0,3.0,781.45,Sim
German Shepherd,Fêmea,12.0,35.38,Grande,Muito Ativo,Especial,Hill's Science,1.61,Sim,Não,13.0,2.0,3.0,1015.47,Sim
Rottweiler,Fêmea,12.0,34.47,Grande,Baixo,Especial,Hill's Science,8.05,Sim,Não,10.0,2.0,0.0,995.82,Não
Poodle,Macho,4.0,19.96,Médio,Muito Ativo,Caseira,Special,3.22,Sim,Não,11.0,3.0,2.0,661.03,Sim
Bulldog,Macho,13.0,28.58,Grande,Moderado,Caseira,Special,3.22,Não,Não,14.0,1.0,2.0,865.26,Sim
Bulldog,Fêmea,5.0,19.96,Médio,Muito Ativo,Úmida,Blue Buffalo,1.61,Não,Não,13.0,1.0,1.0,661.03,Sim
Beagle,Fêmea,3.0,23.59,Médio,Baixo,Úmida,Purina,4.83,Não,Não,12.0,0.0,1.0,749.28,Sim
Rottweiler,Macho,5.0,13.61,Médio,Ativo,Úmida,Nutro,4.83,Sim,Não,11.0,2.0,0.0,496.01,Sim
Yorkshire Terrier,Macho,2.0,21.77,Médio,Moderado,Caseira,Special,11.27,Sim,Não,12.0,0.0,2.0,705.49,Sim
Yorkshire Terrier,Fêmea,4.0,26.76,Grande,Ativo,Ração Seca,Wellness,6.44,Não,Não,12.0,0.0,1.0,823.59,Sim
Great Dane,Macho,9.0,29.48,Grande,Ativo,Especial,Purina,4.83,Sim,Não,9.0,2.0,0.0,885.61,Sim
Beagle,Fêmea,7.0,26.31,Grande,Moderado,Ração Seca,Royal Canin,4.83,Sim,Não,11.0,0.0,0.0,813.18,Não
Siberian Husky,Fêmea,7.0,16.78,Médio,Moderado,Especial,Iams,4.83,Sim,Não,12.0,2.0,1.0,580.35,Sim
Boxer,Macho,10.0,25.4,Grande,Moderado,Caseira,Special,0.0,Não,Não,11.0,2.0,1.0,792.0,Sim
Poodle,Macho,13.0,20.41,Médio,Baixo,Úmida,Iams,3.22,Sim,Não,8.0,1.0,0.0,672.17,Não
Boxer,Fêmea,6.0,29.03,Grande,Ativo,Ração Seca,Royal Canin,4.83,Não,Não,10.0,2.0,0.0,875.45,Sim
Golden Retriever,Fêmea,7.0,19.05,Médio,Ativo,Ração Seca,Pedigree,1.61,Não,Não,10.0,4.0,2.0,638.29,Sim
Siberian Husky,Macho,7.0,26.31,Grande,Baixo,Caseira,Special,3.22,Não,Não,8.0,2.0,1.0,813.18,Sim
Boxer,Macho,8.0,28.58,Grande,Ativo,Ração Seca,Purina,4.83,Sim,Não,13.0,1.0,2.0,865.26,Sim
Dachshund,Fêmea,6.0,24.49,Médio,Moderado,Especial,Hill's Science,8.05,Sim,Não,13.0,2.0,2.0,770.62,Sim
Golden Retriever,Macho,9.0,22.23,Médio,Ativo,Úmida,Special,4.83,Não,Não,10.0,2.0,1.0,716.64,Sim
Bulldog,Fêmea,13.0,14.97,Médio,Baixo,Úmida,Iams,4.83,Sim,Não,9.0,3.0,0.0,532.74,Não
Dachshund,Macho,7.0,26.31,Grande,Muito Ativo,Úmida,Iams,4.83,Não,Não,12.0,1.0,0.0,813.18,Sim
Rottweiler,Macho,5.0,24.04,Médio,Ativo,Especial,Iams,6.44,Não,Não,9.0,1.0,3.0,759.97,Sim
Boxer,Fêmea,5.0,14.51,Médio,Ativo,Especial,Wellness,4.83,Não,Não,10.0,0.0,0.0,520.41,Sim
German Shepherd,Fêmea,12.0,9.98,Pequeno,Muito Ativo,Caseira,Special,3.22,Não,Não,12.0,1.0,1.0,393.05,Sim
Australian Shepherd,Macho,13.0,18.6,Médio,Muito Ativo,Caseira,Special,6.44,Sim,Não,11.0,1.0,1.0,626.95,Sim
Boxer,Macho,2.0,25.4,Grande,Muito Ativo,Especial,Royal Canin,6.44,Sim,Não,12.0,1.0,1.0,792.0,Sim
Poodle,Fêmea,3.0,16.78,Médio,Muito Ativo,Especial,Wellness,6.44,Não,Não,12.0,1.0,2.0,580.35,Sim
Siberian Husky,Fêmea,11.0,12.25,Médio,Ativo,Caseira,Special,1.61,Não,Não,12.0,1.0,2.0,458.35,Sim
Chihuahua,Fêmea,4.0,14.51,Médio,Moderado,Úmida,Iams,4.83,Sim,Não,12.0,2.0,1.0,520.41,Sim
Yorkshire Terrier,Macho,2.0,33.11,Grande,Moderado,Ração Seca,Wellness,8.05,Sim,Não,10.0,1.0,1.0,966.2,Sim
Dachshund,Fêmea,10.0,11.79,Médio,Baixo,Úmida,Nutro,3.22,Sim,Não,12.0,1.0,1.0,445.38,Não
German Shepherd,Macho,11.0,23.13,Médio,Muito Ativo,Especial,Special,8.05,Não,Não,8.0,1.0,2.0,738.29,Sim
Beagle,Fêmea,11.0,32.66,Grande,Moderado,Caseira,Special,1.61,Não,Sim,10.0,2.0,1.0,956.34,Não
Doberman,Fêmea,9.0,20.41,Médio,Ativo,Ração Seca,Iams,3.22,Sim,Não,11.0,2.0,3.0,672.17,Sim
Great Dane,Fêmea,11.0,28.58,Grande,Baixo,Especial,Purina,0.0,Sim,Não,9.0,2.0,0.0,865.26,Não
Rottweiler,Fêmea,12.0,37.19,Grande,Ativo,Ração Seca,Iams,6.44,Sim,Não,11.0,0.0,0.0,1054.19,Não
Great Dane,Fêmea,2.0,18.14,Médio,Moderado,Especial,Nutro,3.22,Não,Não,12.0,3.0,1.0,615.28,Sim
Yorkshire Terrier,Macho,4.0,22.68,Médio,Ativo,Ração Seca,Blue Buffalo,3.22,Sim,Não,8.0,3.0,0.0,727.5,Não
Poodle,Macho,13.0,20.41,Médio,Moderado,Úmida,Blue Buffalo,6.44,Não,Não,12.0,1.0,1.0,672.17,Não
Golden Retriever,Macho,2.0,14.06,Médio,Muito Ativo,Úmida,Pedigree,6.44,Não,Não,11.0,1.0,3.0,508.26,Sim
Great Dane,Fêmea,10.0,17.69,Médio,Moderado,Úmida,Blue Buffalo,8.05,Sim,Não,11.0,2.0,2.0,603.8,Não
Rottweiler,Fêmea,10.0,23.59,Médio,Moderado,Úmida,Royal Canin,6.44,Não,Não,11.0,2.0,2.0,749.28,Sim
Great Dane,Macho,9.0,24.04,Médio,Muito Ativo,Caseira,Special,9.66,Sim,Não,10.0,1.0,2.0,759.97,Sim
Labrador Retriever,Fêmea,5.0,13.15,Médio,Moderado,Ração Seca,Nutro,3.22,Sim,Sim,11.0,1.0,1.0,483.38,Não
Yorkshire Terrier,Macho,8.0,9.07,Pequeno,Moderado,Caseira,Special,1.61,Sim,Não,10.0,0.0,4.0,365.85,Sim
Golden Retriever,Macho,11.0,8.16,Pequeno,Ativo,Caseira,Special,3.22,Sim,Não,13.0,2.0,2.0,337.96,Sim
Golden Retriever,Fêmea,6.0,20.41,Médio,Ativo,Ração Seca,Purina,4.83,Não,Não,10.0,2.0,2.0,672.17,Sim
Dachshund,Fêmea,7.0,29.03,Grande,Ativo,Úmida,Pedigree,1.61,Sim,Não,11.0,0.0,2.0,875.45,Não
Siberian Husky,Fêmea,5.0,26.31,Grande,Moderado,Caseira,Special,8.05,Não,Não,14.0,2.0,4.0,813.18,Sim
Golden Retriever,Macho,1.0,30.39,Grande,Baixo,Ração Seca,Hill's Science,1.61,Sim,Não,14.0,1.0,2.0,906.04,Não
Dachshund,Fêmea,4.0,20.41,Médio,Ativo,Caseira,Special,3.22,Sim,Não,13.0,2.0,0.0,672.17,Sim
Chihuahua,Fêmea,2.0,27.22,Grande,Ativo,Úmida,Hill's Science,4.83,Não,Não,10.0,3.0,2.0,834.19,Sim
Dachshund,Macho,1.0,15.88,Médio,Baixo,Ração Seca,Pedigree,1.61,Sim,Não,11.0,2.0,0.0,556.85,Não
Poodle,Fêmea,5.0,28.58,Grande,Baixo,Caseira,Special,3.22,Sim,Não,11.0,2.0,2.0,865.26,Sim
Boxer,Macho,3.0,20.87,Médio,Baixo,Ração Seca,Nutro,3.22,Não,Sim,12.0,2.0,0.0,683.5,Não
Great Dane,Macho,11.0,17.69,Médio,Muito Ativo,Caseira,Special,0.0,Não,Não,9.0,1.0,0.0,603.8,Sim
Dachshund,Fêmea,2.0,21.32,Médio,Baixo,Úmida,Hill's Science,6.44,Sim,Não,11.0,0.0,3.0,694.53,Sim
Golden Retriever,Macho,10.0,19.05,Médio,Baixo,Ração Seca,Hill's Science,4.83,Sim,Não,12.0,2.0,1.0,638.29,Não
Australian Shepherd,Macho,4.0,29.03,Grande,Baixo,Ração Seca,Nutro,4.83,Não,Não,10.0,1.0,0.0,875.45,Sim
Siberian Husky,Fêmea,11.0,22.68,Médio,Moderado,Úmida,Nutro,6.44,Sim,Não,12.0,2.0,1.0,727.5,Não
German Shepherd,Macho,5.0,23.59,Médio,Moderado,Especial,Iams,1.61,Não,Não,12.0,1.0,1.0,749.28,Sim
Dachshund,Fêmea,13.0,13.61,Médio,Moderado,Úmida,Hill's Science,6.44,Não,Não,9.0,2.0,0.0,496.01,Não
Dachshund,Fêmea,13.0,12.7,Médio,Baixo,Úmida,Iams,6.44,Sim,Não,9.0,0.0,2.0,470.92,Não
Great Dane,Macho,12.0,28.58,Grande,Ativo,Ração Seca,Royal Canin,4.83,Sim,Não,10.0,1.0,1.0,865.26,Não
Labrador Retriever,Macho,11.0,10.89,Médio,Muito Ativo,Ração Seca,Blue Buffalo,4.83,Sim,Não,11.0,1.0,0.0,419.63,Não
Golden Retriever,Macho,9.0,27.67,Grande,Ativo,Úmida,Hill's Science,4.83,Não,Não,14.0,1.0,3.0,844.51,Sim
Rottweiler,Macho,3.0,29.94,Grande,Moderado,Úmida,Nutro,6.44,Não,Não,12.0,2.0,2.0,895.96,Sim
Great Dane,Fêmea,9.0,22.23,Médio,Baixo,Ração Seca,Purina,4.83,Não,Não,10.0,2.0,1.0,716.64,Sim
Bulldog,Macho,6.0,22.68,Médio,Muito Ativo,Ração Seca,Blue Buffalo,3.22,Sim,Não,12.0,2.0,0.0,727.5,Sim
Dachshund,Fêmea,4.0,29.94,Grande,Ativo,Caseira,Special,4.83,Não,Não,12.0,4.0,1.0,895.96,Sim
Dachshund,Macho,1.0,19.96,Médio,Moderado,Caseira,Special,3.22,Não,Não,12.0,1.0,2.0,661.03,Sim
Golden Retriever,Fêmea,5.0,26.76,Grande,Ativo,Úmida,Blue Buffalo,1.61,Não,Não,12.0,1.0,4.0,823.59,Sim
Labrador Retriever,Macho,13.0,19.96,Médio,Ativo,Ração Seca,Nutro,1.61,Não,Não,14.0,2.0,1.0,661.03,Sim
Boxer,Fêmea,8.0,17.24,Médio,Baixo,Caseira,Special,1.61,Sim,Não,11.0,2.0,1.0,592.24,Sim
German Shepherd,Fêmea,3.0,28.12,Grande,Moderado,Úmida,Special,1.61,Sim,Não,9.0,1.0,1.0,854.79,Sim
Rottweiler,Fêmea,11.0,24.04,Médio,Baixo,Úmida,Royal Canin,3.22,Sim,Não,12.0,2.0,2.0,759.97,Não
Doberman,Macho,7.0,17.69,Médio,Ativo,Caseira,Special,4.83,Não,Não,14.0,1.0,1.0,603.8,Sim
Bulldog,Macho,2.0,29.48,Grande,Ativo,Úmida,Pedigree,6.44,Não,Não,13.0,0.0,1.0,885.61,Sim
Great Dane,Fêmea,2.0,26.31,Grande,Moderado,Caseira,Special,4.83,Não,Não,12.0,1.0,0.0,813.18,Sim
Rottweiler,Fêmea,11.0,24.04,Médio,Ativo,Ração Seca,Iams,4.83,Não,Não,12.0,0.0,2.0,759.97,Sim
Labrador Retriever,Fêmea,8.0,22.68,Médio,Moderado,Úmida,Royal Canin,4.83,Sim,Não,13.0,0.0,3.0,727.5,Sim
Doberman,Macho,4.0,22.68,Médio,Ativo,Caseira,Special,6.44,Não,Não,13.0,0.0,0.0,727.5,Sim
Golden Retriever,Macho,6.0,26.31,Grande,Muito Ativo,Caseira,Special,6.44,Não,Não,11.0,0.0,1.0,813.18,Sim
Doberman,Fêmea,13.0,8.62,Pequeno,Muito Ativo,Ração Seca,Royal Canin,4.83,Não,Não,11.0,0.0,0.0,352.15,Não
Chihuahua,Macho,12.0,33.57,Grande,Moderado,Ração Seca,Wellness,0.0,Sim,Não,9.0,2.0,2.0,976.25,Não
Beagle,Macho,5.0,16.33,Médio,Muito Ativo,Ração Seca,Nutro,3.22,Sim,Sim,13.0,2.0,1.0,568.64,Não
Australian Shepherd,Macho,13.0,19.96,Médio,Ativo,Ração Seca,Pedigree,8.05,Sim,Não,13.0,1.0,3.0,661.03,Não
Siberian Husky,Fêmea,13.0,23.59,Médio,Muito Ativo,Ração Seca,Hill's Science,11.27,Sim,Não,10.0,1.0,3.0,749.28,Sim
Great Dane,Macho,6.0,18.6,Médio,Muito Ativo,Ração Seca,Purina,4.83,Sim,Não,11.0,3.0,0.0,626.95,Sim
Labrador Retriever,Fêmea,7.0,28.12,Grande,Baixo,Úmida,Nutro,3.22,Sim,Não,9.0,2.0,1.0,854.79,Sim
Labrador Retriever,Macho,2.0,21.32,Médio,Muito Ativo,Úmida,Iams,4.83,Não,Não,10.0,2.0,1.0,694.53,Sim
Labrador Retriever,Macho,6.0,17.24,Médio,Ativo,Ração Seca,Special,4.83,Não,Não,13.0,1.0,3.0,592.24,Sim
Yorkshire Terrier,Macho,7.0,24.04,Médio,Ativo,Especial,Blue Buffalo,3.22,Não,Não,14.0,1.0,0.0,759.97,Sim
Dachshund,Fêmea,13.0,21.77,Médio,Ativo,Caseira,Special,9.66,Sim,Não,13.0,2.0,3.0,705.49,Sim
Beagle,Fêmea,2.0,20.41,Médio,Muito Ativo,Ração Seca,Iams,4.83,Sim,Não,11.0,2.0,1.0,672.17,Sim
Golden Retriever,Macho,5.0,29.94,Grande,Baixo,Caseira,Special,3.22,Sim,Não,11.0,2.0,1.0,895.96,Sim
German Shepherd,Macho,5.0,17.69,Médio,Ativo,Especial,Nutro,4.83,Não,Não,12.0,0.0,0.0,603.8,Sim
Dachshund,Fêmea,9.0,29.03,Grande,Ativo,Caseira,Special,3.22,Não,Não,11.0,2.0,2.0,875.45,Sim
Bulldog,Fêmea,3.0,32.21,Grande,Moderado,Caseira,Special,8.05,Não,Não,12.0,1.0,0.0,946.44,Sim
Yorkshire Terrier,Macho,10.0,26.31,Grande,Ativo,Caseira,Special,3.22,Sim,Não,11.0,1.0,1.0,813.18,Sim
German Shepherd,Macho,12.0,30.84,Grande,Baixo,Úmida,Nutro,4.83,Não,Não,10.0,1.0,2.0,916.08,Sim
Yorkshire Terrier,Fêmea,10.0,25.85,Grande,Muito Ativo,Especial,Wellness,4.83,Não,Sim,11.0,2.0,0.0,802.5,Sim
Great Dane,Fêmea,8.0,14.97,Médio,Muito Ativo,Especial,Blue Buffalo,8.05,Sim,Não,10.0,2.0,1.0,532.74,Sim
Chihuahua,Macho,5.0,20.87,Médio,Ativo,Caseira,Special,3.22,Sim,Não,10.0,1.0,2.0,683.5,Sim
Bulldog,Fêmea,7.0,24.95,Médio,Ativo,Úmida,Royal Canin,1.61,Sim,Não,9.0,1.0,2.0,781.45,Sim
Labrador Retriever,Macho,2.0,32.21,Grande,Muito Ativo,Caseira,Special,1.61,Sim,Não,11.0,1.0,1.0,946.44,Sim
Boxer,Fêmea,7.0,37.65,Grande,Moderado,Caseira,Special,1.61,Sim,Não,10.0,2.0,4.0,1063.95,Não
German Shepherd,Macho,7.0,20.87,Médio,Moderado,Úmida,Wellness,6.44,Não,Não,8.0,3.0,4.0,683.5,Não
Chihuahua,Macho,12.0,34.93,Grande,Muito Ativo,Ração Seca,Iams,0.0,Não,Não,12.0,2.0,4.0,1005.77,Sim
Dachshund,Macho,3.0,24.49,Médio,Ativo,Especial,Blue Buffalo,4.83,Sim,Não,13.0,3.0,1.0,770.62,Sim
Yorkshire Terrier,Macho,2.0,22.68,Médio,Baixo,Úmida,Pedigree,3.22,Não,Não,13.0,2.0,0.0,727.5,Sim
Great Dane,Fêmea,4.0,22.68,Médio,Ativo,Caseira,Special,6.44,Não,Não,9.0,2.0,1.0,727.5,Sim
Boxer,Macho,12.0,10.43,Médio,Moderado,Ração Seca,Pedigree,0.0,Não,Não,8.0,3.0,2.0,406.27,Não
Boxer,Macho,1.0,18.6,Médio,Ativo,Especial,Purina,0.0,Não,Não,8.0,1.0,4.0,626.95,Sim
Yorkshire Terrier,Fêmea,5.0,25.85,Grande,Ativo,Ração Seca,Iams,3.22,Não,Sim,11.0,2.0,1.0,802.5,Sim
Boxer,Macho,13.0,29.94,Grande,Baixo,Úmida,Iams,1.61,Não,Não,9.0,1.0,2.0,895.96,Sim
Golden Retriever,Macho,3.0,25.85,Grande,Moderado,Caseira,Special,4.83,Não,Não,12.0,1.0,0.0,802.5,Sim
Chihuahua,Macho,12.0,16.33,Médio,Muito Ativo,Ração Seca,Pedigree,4.83,Não,Não,8.0,2.0,0.0,568.64,Sim
Siberian Husky,Macho,13.0,21.77,Médio,Baixo,Ração Seca,Hill's Science,4.83,Não,Não,11.0,2.0,2.0,705.49,Sim
Beagle,Fêmea,10.0,24.95,Médio,Ativo,Especial,Iams,8.05,Sim,Não,13.0,3.0,1.0,781.45,Não
Dachshund,Macho,5.0,19.96,Médio,Ativo,Especial,Wellness,6.44,Sim,Não,12.0,1.0,1.0,661.03,Sim
Beagle,Macho,1.0,14.06,Médio,Ativo,Úmida,Blue Buffalo,8.05,Não,Não,10.0,2.0,2.0,508.26,Sim
Labrador Retriever,Fêmea,9.0,30.84,Grande,Baixo,Caseira,Special,3.22,Sim,Não,9.0,3.0,0.0,916.08,Não
Beagle,Macho,3.0,18.14,Médio,Ativo,Caseira,Special,3.22,Sim,Não,13.0,1.0,2.0,615.28,Sim
Poodle,Fêmea,5.0,26.76,Grande,Muito Ativo,Caseira,Special,3.22,Não,Não,11.0,1.0,1.0,823.59,Sim
Australian Shepherd,Macho,5.0,27.67,Grande,Muito Ativo,Ração Seca,Royal Canin,3.22,Sim,Não,14.0,2.0,3.0,844.51,Sim
Golden Retriever,Macho,2.0,24.04,Médio,Moderado,Caseira,Special,8.05,Não,Não,13.0,2.0,1.0,759.97,Sim
Yorkshire Terrier,Fêmea,7.0,31.75,Grande,Moderado,Caseira,Special,3.22,Sim,Não,11.0,1.0,1.0,936.28,Sim
Doberman,Fêmea,3.0,13.61,Médio,Muito Ativo,Especial,Hill's Science,1.61,Não,Não,11.0,0.0,0.0,496.01,Sim
Rottweiler,Macho,3.0,22.68,Médio,Muito Ativo,Caseira,Special,4.83,Não,Não,12.0,1.0,1.0,727.5,Sim
Doberman,Fêmea,9.0,16.33,Médio,Ativo,Úmida,Special,4.83,Não,Não,12.0,3.0,1.0,568.64,Sim
Chihuahua,Fêmea,10.0,27.67,Grande,Baixo,Especial,Special,1.61,Sim,Não,13.0,2.0,1.0,844.51,Sim
Bulldog,Macho,7.0,22.23,Médio,Muito Ativo,Especial,Purina,0.0,Não,Não,10.0,1.0,1.0,716.64,Sim
Great Dane,Fêmea,5.0,14.06,Médio,Moderado,Especial,Purina,3.22,Sim,Não,10.0,2.0,1.0,508.26,Sim
Siberian Husky,Fêmea,4.0,18.14,Médio,Moderado,Úmida,Pedigree,4.83,Sim,Não,9.0,1.0,2.0,615.28,Sim
Labrador Retriever,Fêmea,4.0,20.87,Médio,Ativo,Úmida,Blue Buffalo,6.44,Não,Não,14.0,2.0,1.0,683.5,Sim
Dachshund,Macho,13.0,20.41,Médio,Ativo,Úmida,Iams,3.22,Sim,Não,11.0,2.0,0.0,672.17,Não
Boxer,Macho,5.0,27.67,Grande,Ativo,Especial,Royal Canin,1.61,Não,Não,11.0,1.0,3.0,844.51,Sim
Rottweiler,Macho,7.0,27.67,Grande,Ativo,Especial,Purina,3.22,Sim,Não,10.0,0.0,0.0,844.51,Sim
German Shepherd,Macho,5.0,19.05,Médio,Ativo,Caseira,Special,1.61,Não,Não,10.0,4.0,4.0,638.29,Sim
Golden Retriever,Fêmea,1.0,26.31,Grande,Baixo,Caseira,Special,3.22,Não,Não,10.0,1.0,0.0,813.18,Sim
Labrador Retriever,Fêmea,13.0,19.96,Médio,Moderado,Ração Seca,Pedigree,3.22,Não,Não,12.0,2.0,1.0,661.03,Sim
German Shepherd,Fêmea,2.0,28.58,Grande,Moderado,Úmida,Pedigree,3.22,Sim,Não,9.0,1.0,2.0,865.26,Não
Beagle,Fêmea,1.0,23.59,Médio,Moderado,Especial,Blue Buffalo,4.83,Sim,Não,10.0,0.0,1.0,749.28,Sim
Boxer,Fêmea,2.0,20.87,Médio,Ativo,Especial,Pedigree,6.44,Não,Não,14.0,1.0,1.0,683.5,Sim
Australian Shepherd,Macho,10.0,12.25,Médio,Muito Ativo,Caseira,Special,3.22,Sim,Não,10.0,2.0,2.0,458.35,Sim
German Shepherd,Fêmea,4.0,14.06,Médio,Ativo,Úmida,Hill's Science,6.44,Não,Não,11.0,2.0,2.0,508.26,Sim
Bulldog,Macho,4.0,25.85,Grande,Muito Ativo,Ração Seca,Blue Buffalo,3.22,Não,Não,10.0,2.0,4.0,802.5,Sim
Labrador Retriever,Fêmea,6.0,23.13,Médio,Ativo,Úmida,Pedigree,8.05,Sim,Não,11.0,0.0,0.0,738.29,Sim
Poodle,Macho,6.0,7.26,Pequeno,Ativo,Caseira,Special,6.44,Não,Não,9.0,2.0,4.0,309.6,Sim
Chihuahua,Macho,13.0,19.5,Médio,Ativo,Ração Seca,Wellness,1.61,Não,Não,11.0,3.0,0.0,649.57,Não
SRD (Sem Raça Definida),Fêmea,11.0,35.83,Grande,Muito Ativo,Ração Seca,Hill's Science,0.0,Não,Não,12.0,3.0,0.0,1025.14,Sim
